,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,pastor,pastores,"aquele que toma conta de ovelhas (G); 
","Aqueles que conduzem e protegem ovelhas ou cabras são chamados de pastores. Jesus chamou a si mesmo de nosso Bom Pastor, porque ele nos conduz a Deus e cuida de nós.","ovelha, bode",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Siló,,,"Siló era uma antiga cidade murada na província de Samaria, onde os israelitas mantinham sua antiga tenda de adoração. Muitos israelitas faziam peregrinação anual a Siló para adorar ao Senhor.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Siló,,,"Shiloh era uma cidade na província de Judá onde a antiga tenda de adoração foi mantida, com a Arca da Aliança, depois que os israelitas se estabeleceram em Canaã. O profeta Samuel veio de Siló.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,navio,navio,"grande canoa (G);
",Os navios são barcos muito grandes que transportam passageiros e cargas por longas distâncias e navegam no oceano ou em grandes lagos.,barco,,GC 19-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Sidom,,,"Sidom era uma cidade inimiga, rica, pagã, próxima ao mar, ao norte de Israel, onde se adoravam outros deuses. A perversa Rainha Jezabel veio de Sidon. Certa vez, Jesus foi até lá para ajudar uma viúva e sua filhinha. (O nome Sidon significa Cidade dos Peixes.)",,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Zim,deserto de Zim,,"Zim era o nome de um deserto onde os israelitas habitaram por vários meses, depois que escaparam do Egito.",,,What they ate there can be learned from the story.,,,,,,,,,,,,,,,,,,,,,,,,
n,Silas,,,"Silas era de Jerusalém. Ele viajou com Paulo para muitas cidades onde eles plantaram novas igrejas (Atos 15, 16, 17, 18). (O nome Silas significa ""habitante da floresta"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,prata,,"dinheiro rígido (G); 
","A prata é um metal brilhante e caro usado para fazer xícaras, potes, tigelas e moedas.",ouro,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Simão,Simeão,,"Haviam muitos homens chamados Simão, outra maneira de dizer o nome é Simeão. O Apóstolo Pedro chamava-se Simão e Cefas.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,pecado,"pecando, peca, pecou, maldade, mau ","maus atos/pensamentos; mau comportamento (R);
(resultando em) culpa;
fazer coisas que Deus não gosta/quer;
seguir caminhos ruins/errados;
fazer algo que Deus acha ruim (G);
coisa não boa (G);
","Toda ação humana que desagrada a Deus é pecado. Os pecados que violam a Lei de Deus são transgressões. Os pecados que violam a lei humana são crimes. Todos os humanos que sobrevivem à infância cometem pecados. Sempre que uma pessoa quebra qualquer mandamento de Deus, é pecado. Quer seja algo pequeno ou grande aos olhos dos seres humanos, ainda assim é pecado aos olhos de Deus. (Pela morte de Jesus em sua cruz por causa de nossos pecados, Deus pode nos perdoar todos os nossos pecados.)",correto,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Sinai,Monte Sinai,,"Deus se encontrou com Moisés em uma montanha chamada Sinai na Arábia, onde Deus escreveu os Dez Mandamentos em pedras e fez uma aliança com os israelitas.",,,Some researchers now believe that Sinai is Jebel-Musaa (Mt. Moses) in Saudi Arabia.,,,,,,,,,,,,,,,,,,,,,,,,
n,Sísera,,,"Sísera era um comandante do exército cananeu que lutou contra os israelitas quando Débora era juíza. Quando Sísera fugiu e se escondeu na tenda de uma mulher, ela o matou. O nome dela era Jael.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,escravo,escravos,"aquele que não trabalha por pagamento (G); 
","Nos tempos antigos, a maioria dos países tinha dois tipos de cidadãos: homens livres que não pertenciam a outro homem e escravos, ou servos, que pertenciam a alguém a quem serviam sem remuneração. Alguns escravos foram cativos de guerra, outros foram feitos escravos porque não podiam pagar suas dívidas. Se um escravo pudesse ganhar e economizar dinheiro, então ele poderia comprar sua liberdade.",servo,increase cell size to show the definition.,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,cobra,"serpente, cobras, serpentes",,As cobras são animais cumpridos e magros que não têm pernas ou pés. Algumas cobras matam outros animais mordendo-os com veneno. Outras matam envolvendo-se em torno de outro animal e apertando-o.,dragão,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Sodoma,Sodomitas,,"Sodoma era o nome da cidade onde Ló e sua família moravam, perto de uma cidade chamada Gomorra. Os homens de Sodoma e Gomorra cometeram terríveis pecados sexuais. Por causa disso, Deus destruiu essas cidades com fogo.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Salomão,,,"Salomão, cujo nome significa paz, foi um dos filhos do rei Davi. Bate-Seba era a mãe de Salomão. Salomão tornou-se rei depois de Davi, e foi ele quem construiu o primeiro templo para Deus em Jerusalém. Por Salomão ter se humilhado diante de Deus, o Senhor o tornou sábio e extremamente rico. (No entanto, Salomão mais tarde pecou ao se casar com muitas esposas e permitir que elas adorassem deuses pagãos.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,Filho de Deus,Filho de Deus,"Deus em forma humana; Filho de Deus (R, W);
um homem que é Deus; Deus!;
Filho de Deus (G) (Marcos 15:39);
","Em Israel, Deus chamou os reis de seus filhos e a si mesmo de seu Pai. Assim, 'Filho de Deus' tornou-se um título para reis, e 'O Filho de Deus' um título para o grande Rei chamado de Messias ou Cristo. (O Novo Testamento revela que Jesus é o Filho de Deus, e que Jesus é Deus nascido em carne humana.)","Filho do Homem, Messias",,"GC: Theologians go through all kinds of contortions to make biblical titles fit their metaphysical speculations. Whilst Jesus is truly human and well as truly God, that is not the main purpose of the title.",,,,,,,,,,,,,,,,,,,,,,,,
t,Filho do Homem,Filho do Homem,"filho de um humano; Filho do Homem (R);
Filho do Homem (G);
o Humano;
o Homem Celestial;","Certa vez, o profeta Daniel teve uma visão de alguém no céu que parecia 'um filho do homem', tendo grande autoridade de Deus sobre todas as nações do mundo. Seu futuro reino e reinado nunca terminarão ou serão destruídos. Jesus muitas vezes chamou a si mesmo de Filho do Homem, a fim de ensinar que ele mesmo é a pessoa na visão de Daniel que veio do céu em carne humana. (O Livro do Apocalipse descreve Jesus várias vezes como o Filho do Homem no meio dos crentes e como um ceifeiro.)","Filho de Deus, Messias",,"GC: Theologians go through all kinds of contortions to make biblical titles fit their metaphysical speculations. Whilst Jesus is truly human and well as truly God, that is not the main purpose of the title.
GC: Smoothed out the syntax a bit.",,,,,,,,,,,,,,,,,,,,,,,,
t,lança,,"flecha longa (G);
",As lanças são armas que têm uma longa haste de madeira e uma ponta afiada. Os soldados costumavam empurrar ou atirar lanças nos inimigos em batalha.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,espírito,"espíritos, fantasma, fantasmas",criatura (W);,"Os espíritos são seres vivos invisíveis para nós humanos. Deus é o Espírito eterno. Outros espíritos são espíritos menores criados por Deus. Anjos e demônios são espíritos. Todo ser humano é um espírito e um corpo visível juntos. Quando os humanos morrem, seu espírito se torna um fantasma, até ganhar um novo corpo.","demônio, anjo",Other gods -> Other spirits,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,bordão,bordões,,"Um cajado é uma vara forte de madeira para segurar enquanto caminha, que pode servir como uma arma defensiva.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Estevão,,,"Estevão foi um dos primeiros cristãos conhecido por ser um líder sábio, cheio (bem controlado pelo) Espírito Santo. Ele distribuiu comida para os outros e falou com ousadia sobre Jesus. Quando ele lembrou alguns líderes judeus sobre seus próprios pecados, eles o mataram batendo nele com grandes pedras. (O nome Estêvão significa Coroa.)",,He served food to others -> He distributed food to others,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,bebida forte,álcool,"caldo de mandioca fermentado, qualquer bebida que cause embriaguez (G);
água louca (U);",Bebida forte é qualquer bebida líquida que contenha álcool.,"cerveja, vinho",other language: crazy water (urt),GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,enxofre,enxofre,salfa (K),O enxofre é uma substância de cor amarela que queima com uma chama brilhante e um cheiro forte. Às vezes é chamado de súlfur.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,espada,espadas,"faca longa/terçado(G);
",As espadas são facas longas e fortes com as quais os soldados costumavam lutar em batalha. A espada também é um símbolo do poder de um rei para guerrear e punir criminosos.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,sicômoro,,"figueira; árvore (R);
árvore frutífera",O sicômoro é uma espécie de figueira (fruta). Possui galhos frondosos fáceis de escalar e muitas vezes plantados nas margens das estradas para fornecer sombra aos viajantes. Sua madeira era usada para combustível e para fazer móveis.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,sinagoga,,"casa para proclamar;
local onde os judeus se reuniam / local de reunião (G);
casa de culto (R);","Sinagoga significa Ajuntar-se. As sinagogas são casas de reunião religiosa onde os judeus se reúnem para ler a Bíblia, ensinar uns aos outros, orar e adorar a Deus. (Os locais de reunião cristã são chamados de capelas ou igrejas.)","templo, tabernáculo",Christian synagogues -> Christian meeting places,,,,,,,,,,,,,,,,,,,,,,,,,
n,Sírio,"Síria, sírios",,"A Síria era e ainda é um país a nordeste de Israel. A Síria e Israel muitas vezes entraram em guerra um contra o outro, e ainda o fazem. Um oficial militar sírio chamado Naamã começou a adorar ao Senhor depois que o profeta Eliseu o curou de lepra.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,tabernáculo,"tenda da congregação, tenda do testemunho","casa de pele/couro de Deus;
construção tipo casa (não feita de material durável) (G);
tenda de oração de pele; casa de lona (ou seja, tenda) (R); ","Tabernáculo significa grande tenda. Deus ordenou aos antigos israelitas que construíssem um belo tabernáculo portátil, para que sua presença pudesse viver e acampar com eles. Também para que pudessem adorá-lo adequadamente enquanto viajavam pelo deserto. (Depois que Salomão construiu um templo em Jerusalém, o tabernáculo não era mais necessário; o templo substituiu o tabernáculo. Jesus substituiu o tabernáculo e o templo.)","templo, sinagoga",,Explicitating the materials might make the word impossible to translate.,,,,,,,,,,,,,,,,,,,,,,,,
n,Tabor,Monte Tabor,,Tabor é uma montanha no norte de Israel. Marcava os limites entre algumas tribos israelitas.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Tamar,,,"Tamar era filha do rei Davi e irmã de Absalão, filho de Davi.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,cobradores de impostos,coletor de impostos,aquele que coleta/carrega tarifas/impostos (R); taxador (W);,"Depois que os romanos capturaram Israel, eles o chamaram de Judéia e cobraram pesados impostos de todos. Alguns judeus coletavam impostos para os Romanos, guardando parte do dinheiro para eles. A maioria das pessoas odiava os cobradores de impostos, chamando-os de pecadores.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,ensinar,"professor, ensinando, ensinou, ensina",fazer ler (W);,"Ensinar ou treinar é dizer aos outros algo útil ou verdadeiro, mostrando-lhes como obedecer ou aplicar essa verdade. Jesus ordenou: ""Ide, fazei discípulos, ensinando outros a obedecerem aos Meus mandamentos.""","pregar, profeta",,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,templo,"templos, Casa de Deus","grande casa/edifício de Deus (G);
casa de Deus;
ponto de encontro de Deus e das pessoas;
local/casa de culto grande/principal (P); casa de doação (K); dentro da cerca da casa de doação (K); lugar de magnificar (W);","Templo é o lugar onde Deus (deuses) e as pessoas se encontram. Para os judeus, sempre houve apenas um Templo, localizado em Jerusalém. Era onde sua adoração a Deus era centralizada. Historicamente, houve apenas alguns Templos [judaicos]: (1) o Tabernáculo de tenda de pele construído por Moisés no deserto; (2) o majestoso Templo de pedra e ouro construído pelo rei Salomão em Jerusalém e destruído pela Babilônia; (3) o templo menor reconstruído junto com a cidade de Jerusalém sob Neemias e Zorobabel e depois ampliado pelo rei Herodes pouco antes do nascimento de Jesus. Este templo foi destruído pelos romanos em 70 d.C. (4) O corpo de Jesus era um """"templo"""" (um lugar onde Deus e a humanidade se encontravam). (5) O O Novo Testamento ensina que os cristãos agora são o templo de Deus, porque seu Espírito habita neles.
Os templos também podem ser casas para ídolos de deuses pagãos.","sinagoga, tabernáculo",Hilkka: move this sentence to the end: Temples are houses for idols of pagan gods.... Start with: Temple is the place where…,"GC 11-Mar-2019
Shortened edit.","Temples are houses in which people pray to their gods and offer sacrifices. Pagans set up idols in their temples. God told the Israelites to set up a portable tent. Later God ordered Solomo to build a temple at Jerusalem. After the Israelites brought pagan idols into God's temple, he sent the Babylonians to destroy that first temple. Jesus body was a temple. After Israel crucified Jesus, God sent Roman armies to destroy their second temple. Since then, God says that Christians are his temple, because the Holy Spirit dwells in them.",,,,,,,,,,,,,,,,,,,,,,,
t,agradecer,"grato, agradecido, gratidão","dizer para alguém quando essa pessoa faz algo que é bom (G);
ficar feliz com alguém (porque te deram algo) (U);","Agradecer a alguém significa dizer que boa ação essa pessoa fez por você. No AT, os crentes agradecem a Deus com uma oferta; no NT agradecemos a Deus anunciando suas boas ações.","louvar, honrar",be happy with someone (because they gave you something (urt)),"GC 23-Feb-2019 (In the NT, grace and thanks are the same Greek word.)",,,,,,,,,,,,,,,,,,,,,,,,
t,trono,assento do rei,"assento de um líder/chefe (G); 
",Um trono era uma cadeira na qual os reis se sentavam para decidir assuntos importantes. O trono também é um símbolo que significa realeza ou a autoridade que um rei possui. Trono do Céu significa Deus que governa o céu e a terra.,reino,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Timóteo,,,"Timóteo era da Ásia Menor. Quando jovem, viajou com Paulo para muitas cidades onde começaram novas igrejas (Atos 16, 17, 18, 19, 20). Mais tarde, Paulo escreveu cartas a Timóteo, instruindo-o sobre como pastorear igrejas. (O nome Timóteo significa ""honra a Deus"".)",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Tito,,,"Tito acompanhou Paulo a Creta, onde começaram igrejas. Quando Paulo partiu, Tito ficou lá para treinar novos líderes da igreja. Mais tarde, Paulo escreveu uma carta para ele.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,túmulo,"túmulos, cova",buraco em rocha (G),"Um túmulo é uma caverna onde os cadáveres foram colocados para sepultamento. Os judeus enterravam seus mortos em túmulos, então um túmulo é sua sepultura.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,cidade,vila,"cidade (G); 
",Uma vila ou cidade é um pequeno grupo de casas de família separadas de outros grupos semelhantes. Uma vila é menor do que uma cidade.,"cidade, vila",,GC 08-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,tesouro,tesouros,,Tesouro é dinheiro ou coisas caras mantidas em um só lugar.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Uzá,,,"O rei Davi providenciou um carro de bois para levar a Arca da Aliança para Jerusalém depois que ela foi capturada. (Esta não foi a maneira que Deus havia especificado para a Arca da Aliança ser carregada.) Quando os bois tropeçaram, Uzá colocou sua mão na Arca para firmá-la. Instantaneamente, o fogo do Senhor matou Uzá, porque o Senhor havia proibido que alguém tocasse na caixa. (O nome Uzá significa Força.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Vasti,,,A rainha Vashti foi a primeira esposa do rei persa Xerxes. Ele a depôs e fez de Ester sua nova rainha. (O nome persa Vashti significa Bela.),,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,videira,"videiras, vinha, parreira  ",,"Uma videira é uma planta que produz frutas chamadas uvas. Uma vinha é um jardim onde crescem videiras. Os homens protegiam as vinhas com cercas de pedra e as guardavam. Na Bíblia, Deus chamou Israel de sua vinha, e Jesus chama a si mesmo de videira e seus seguidores de ramos de videira.","uva, vinho",,,,,,,,,,,,,,,,,,,,,,,,,,
t,virgem,virgens,garota (W);,"Virgens são homens ou mulheres, jovens ou velhos, que nunca tiveram relações sexuais com ninguém. No palácio de um rei, as virgens eram jovens mulheres esperando para se tornar a esposas ou concubinas de um rei.","mulher, esposa",,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,visão,visões,"ver como em um sonho (G); o que apareceu(W);
","Uma visão é um sonho que alguém vê enquanto está acordado. Em uma visão, pode-se ver pessoas ou coisas que geralmente são invisíveis. Os livros de Daniel e Apocalipse descrevem várias visões sobre eventos futuros. O apóstolo Paulo viu Jesus em várias visões.",sonho,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,esperar,"esperou, espera, esperando",,"Esperar pelos outros significa ficar onde você está até que eles cheguem. Esperar por algo significa continuar observando até que aconteça. Esperar a volta de Jesus significa viver de maneira que o agrade para que ele nos recompense, esperando que ele venha.",descansar,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,mal,maldade,tortuoso (W);,A maldade é o dano causado pelo mal. Pessoas perversas são aquelas que prejudicam os outros porque desrespeitam as leis de Deus.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,esposa,esposas,"aquela com quem ele está(G);
senhora (W);","Uma esposa é uma mulher que é casada com um homem. Homens ricos podiam ter mais de uma esposa. A primeira esposa de um rei é chamada de rainha. No dia de seu casamento, uma esposa é chamada de noiva. Além das esposas, os reis também podem ter concubinas cujos filhos não podem se tornar reis.","comcubina, mulher, virgem",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,deserto,região selvagem,,"Deserto descreve a terra ou as regiões onde os humanos geralmente não habitam porque são muito secos e desolados, uma área selvagem.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,vinho,,"suco fermentado de mandioca, qualquer bebida que cause embriaguez (G);
","Suco fermentado de uvas (contém álcool), muitas vezes diluído em água. Os judeus serviam vinho aos convidados em casamentos e durante a festa anual da Páscoa. O vinho servido na ceia do Senhor é uma lembrança da morte de Jesus.","cerveja, álcool, bebida forte","Juice from grapes , often diluted with water. When fermented, wine contains alcohol. -> Fermented juice from grapes (contains alcohol),  often diluted with water. ",GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,mulher,mulheres,,"Mulheres são pessoas femininas. Deus criou homens e mulheres para serem parceiros iguais no casamento e no cuidado da terra. Uma mulher casada é chamada de esposa. Uma escrava que gera filhos para seu mestre é chamada de concubina. Antes do casamento, uma jovem é chamada de virgem se não tiver feito sexo.","mulher, comcubina, virgem", a young woman is called a virgin if she is has not had sex and is not pregnant. ->  a young woman is called a virgin if she has not had sex. ,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,mundo,,atmosfera / cosmos; mundo (R); addina (W from Ar);,"Mundo às vezes significa (1) a terra física sobre a qual habitam todas as criaturas.
Outras vezes, mundo significa (2) as nações e governos que se rebelam contra Deus.
","terra, céus",,,,,,,,,,,,,,,,,,,,,,,,,,
t,adoração,,"invocar/orar a Deus; adoração (R);
louvando a Deus;
dando honra a Deus;
curvar-se (bater os joelhos no chão ou quebrar as articulações das pernas) diante de Deus;
fazendo trabalho/serviço para Deus;
sempre fazendo o que Deus quer (G);
magnificar (W)","Adoração inclui toda ação ou atividade que os humanos realizam para dar honra a Deus (ou a deuses/ídolos). Assim, existem muitas maneiras pelas quais adoramos a Deus, pela posição do nosso corpo, servindo uns aos outros, ensinando e aprendendo as Escrituras, por meio de cânticos e louvores, orando e dando para suprir necessidades urgentes.","oração, louvor",always doing what God wants you to (G); ???,,,,,,,,,,,,,,,,,,,,,,,,,
n,Xerxes,Assuero,,"O título dos reis persas. Xerxes, o Grande, foi o quinto rei do Império Persa, 486–465 aC. Ele também era chamado de Assuero. (O nome Assuero significa Chefe.)",Rei,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Javé,"Senhor, Jeová",o (Chefe) Deus; o Deus Altíssimo; Yawe; EU SOU,"O nome Yahweh significa ELE É ou AQUELE QUE EXISTE. Ao falar sobre si mesmo, Yahwah disse que seu nome era EU SOU. Êxodo 3:14.
Deus não é um nome. Hebraico e algumas línguas dizem O Deus (Chefe) ou O Deus Altíssimo.",Senhor,,,,,,,,,,,,,,,,,,,,,,,,,,
t,fermento,,é (transliteração) (R); lewer (W de Fr);,"O fermento é a substância que é usada para fazer pão. Faz com que a massa inche antes de assar. Apenas um pouco de fermento é necessário para fazer uma grande quantidade de pão. (O fermento é uma pequena planta que consome farinha e açúcar, liberando bolhas de ar na massa do pão.)",pão,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Zaqueu,Zaqueu,,"O nome Zaqueu significa Limpo, Puro. Zaqueu era um cobrador de impostos judeu que trabalhava para o governo romano, que enriquecera enganando os outros. Depois de conhecer Jesus, ele se arrependeu de suas atividades desonestas.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Zacarias,,,"Havia vários homens chamados Zacarias. Um era rei sobre o norte de Israel. Outro era o filho do sacerdote Joiada, que profetizou durante o reinado do rei Joás, quando o Espírito do Senhor desceu sobre ele. Joás mandou apedrejá-lo até a morte. Outro foi um profeta do Senhor que escreveu um livro intitulado com seu nome. Outro era o pai de João Batista. (O nome Zacarias significa o Senhor se lembra.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Zedequias,,,"O rei Zedequias, filho do rei Joás, governou Judá no sul de Israel. O exército babilônico o levou cativo e o cegou 586 anos antes de Cristo. Outro homem chamado Zedequias se opôs à mensagem que o profeta Micaías transmitiu (o nome Zedequias significa que o Senhor é justo).",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Zeus,,,"Zeus é o nome do principal deus grego, idêntico ao deus romano Júpiter. Acreditava-se que outro deus/espírito era seu mensageiro. Seu nome era Hermes. Quando os pagãos se tornaram cristãos, eles pararam de adorar os ídolos de Zeus e começaram a invocar a Deus através do nome de Jesus.",,"Zeus, who is also called Jupiter, is the name of the chief Greek and Roman god. -> Zeus is the name of the chief Greek god, identical to Roman god Jupiter. ","Both European and Semitic philosophers made out Zeus and El to be the same God that the Hebrews worshipped. Thus, some pagans turned from their idols, honouring God through his human incarnation, Jesus.",,,,,,,,,,,,,,,,,,,,,,,,
n,Sião,,,"Sião era um nome antigo de uma das colinas em que a cidade de Jerusalém está localizada. A palavra Sião (1) às vezes refere-se a Jerusalém, (2) outras vezes refere-se ao céu (o lugar onde Deus está) e (3) às vezes refere-se à Nova Jerusalém.",Jerusalém,,"The consonants of Tsîwn can mean marker stone, along a road or at a grave site.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
