,term,Alternate forms and synonyms. (separate w commas),Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts
n,సద్దూకయ్యులు,సద్దూసీ,,"సద్దూకయ్యులు యెరూషలేము ఆలయాన్ని పర్యవేక్షించే ధనవంతులు, ఉన్నత తరగతి యూదులు. వారు యూదు మత నాయకులలో భాగం. మోషే ధర్మశాస్త్రంలో లేని నియమాలను పాటించడం గురించి వారు పరిసయ్యులతో విభేదించారు. (సద్దూకయ్యులు కాలాంతంలో చనిపోయినవారు లేస్తారని నమ్మారు, కానీ అంతానికి ముందు ఎవరైనా మరణం నుండి లేవలేరని వారు తిరస్కరించారు.)","పరిసయ్యుడు, శాస్త్రులు",దీనిని తొలగించవచ్చు: (వారు దేవదూతలు ఉన్నారని కూడా నమ్మారు కానీ దేవదూతలు మానవులకు కనిపించరని తిరస్కరించారు.) (హిల్కా),,
t,సాధువు,సాధువులు," దేవుడు పాలించేవాడు, యేసు పాలించేవాడు (G);", సెయింట్ అంటే యేసుపై విశ్వాసం ద్వారా దేవునికి చెందిన పవిత్ర వ్యక్తి అని అర్థం. అపొస్తలులు తరచుగా వారు లేఖలు రాసిన క్రైస్తవులను సెయింట్స్ అని సంబోధించారు.,"క్రైస్తవుడు, విశ్వాసి, శిష్యుడు",,జిసి 08-ఫిబ్రవరి-19,
n,సమరయ,"సమరిటన్లు, సమరిటన్లు",,"సమారియా పురాతన ఇజ్రాయెల్ యొక్క ఉత్తర ప్రాంతంగా ఉండేది, తరువాత అది రోమ్ ప్రావిన్స్‌గా మారింది. యేసు కంటే 600 సంవత్సరాల ముందు అష్షూరు యూదులను సమారియా నుండి బహిష్కరించిన తరువాత, వారు అన్యమతస్థులను సమారియాలో నివసించడానికి తీసుకువచ్చారు. ఈ సమరయులు యూదు మతంలోకి మారారు, కానీ యూదులు సమరయులను నిజమైన యూదులుగా అంగీకరించలేదు ఎందుకంటే వారు అన్యులతో వివాహం చేసుకున్నారు మరియు కొందరు తమ దేవుళ్లను ఆరాధించారు, మరికొందరు ఇజ్రాయెల్ దేవుడిని ఆరాధించారు. యూదా యూదులు సమరయులను తృణీకరించారు.",,"సమారిటన్, యూదుల సమాజంలో సభ్యుడు, ఇప్పుడు దాదాపు అంతరించిపోయింది, ఇది క్రీస్తుపూర్వం 722 లో ఇజ్రాయెల్ రాజ్యాన్ని అస్సీరియన్ జయించిన వారిచే బహిష్కరించబడని పురాతన సమారియా యూదులతో రక్త సంబంధం కలిగి ఉందని పేర్కొంది. (హిల్కా)",,
n,సమ్సోను,,,"సమ్సోను యేసుకు దాదాపు 1100 సంవత్సరాల ముందు జీవించాడు. అతని పేరుకు సూర్యుడు అని అర్థం. అతను దేవునికి అంకితభావంతో ఉండాల్సి ఉంది, కానీ న్యాయాధిపతుల కాలంలో అతను అవిధేయుడైన నాయకుడు. దేవుడు సమ్సోనుకు గొప్ప శారీరక బలాన్ని ఇచ్చాడు, అతను ఇశ్రాయేలీయుల శత్రువులను చాలా మందిని చంపాడు. అయితే, అతను ఒక అన్యమత స్త్రీని వివాహం చేసుకున్నాడు, ఆమె అతన్ని మోసం చేసింది, దీని వలన అతను దేవునికి మరింత అవిధేయత చూపించాడు మరియు అతని బలాన్ని కోల్పోయేలా చేశాడు.",,,,
n,సమూయేలు,,, సమూయేలు యేసుకు దాదాపు 1150 సంవత్సరాల ముందు జీవించాడు. అతని పేరుకు అర్థం దేవుని పేరు. సమూయేలు ఇశ్రాయేలులో గొప్ప ప్రవక్త అయ్యాడు మరియు సౌలు మరియు దావీదులను ఇశ్రాయేలు రాజులుగా అభిషేకించాడు కూడా అతనే.,,,,
t,పవిత్రం చేయు,"పవిత్రం, పవిత్రం చేస్తుంది",దేవునికి నిజంగా విధేయత చూపే వ్యక్తిగా (G); శుభ్రపరచే వ్యక్తిగా (W);, పవిత్రం చేయడం అంటే దేనినైనా లేదా ఎవరినైనా మరింత పవిత్రంగా చేసుకోవడం లేదా మనల్ని మనం దేనినైనా లేదా ఎవరినైనా దేవునికి అంకితం చేసుకోవడం. దేవుని పరిశుద్ధాత్మ క్రైస్తవులలో నివసించడం ద్వారా వారిని పవిత్రం చేస్తుంది.,"సమర్థించు, శుభ్రంగా, పవిత్రంగా",,జిసి 15-ఫిబ్రవరి-2019,
t,మహాసభ,,సమావేశం (R); సమావేశ ప్రజలు (R); నాయకుల సమావేశం (W);,"యేసు కాలంలో, యూదుల మతం మరియు వ్యవహారాలపై 71 మంది పురుషులతో కూడిన పాలక మండలి మహాసభ. వారికి యూదు ప్రధాన యాజకుడు నాయకత్వం వహించాడు. (యేసు చనిపోవాలని, తరువాత పౌలు చనిపోవాలని మహాసభ తీర్పు ఇచ్చింది.) (యేసును సిలువ వేయడానికి మహాసభ రోమన్ల వద్దకు పంపింది.)",,," 2018 లో, సంహెడ్రిన్ ఇజ్రాయెల్‌లో మళ్ళీ చురుకుగా మారింది.",
n,సప్పీరా,,,"సప్పీరా మరియు ఆమె భర్త అననీయలు తొలి క్రైస్తవులలో ఉన్నారు. వారు కొంత భూమిని అమ్మి, ఆ డబ్బులో కొంత భాగాన్ని పేద క్రైస్తవులకు సహాయం చేయడానికి తీసుకువచ్చారు. కానీ వారు ఆ భూమిని ఎంత ధరకు అమ్మేశారో అబద్ధం చెప్పినప్పుడు, వారు చనిపోయారు. (సప్పీరా అనే పేరుకు అర్థం సప్పీర్, ఒక విలువైన రాయి.)",,,జిసి 19-ఫిబ్రవరి-19,
n,శార,,,"అబ్రాహాము మొదటి భార్య శార. ఆమె చాలా సంవత్సరాలు గొడ్రాలిగా ఉన్నప్పటికీ, ఆమె వృద్ధాప్యంలో ఒక కొడుకును కంటానని దేవుడు వాగ్దానం చేశాడు. వాగ్దానం చేయబడిన కుమారుడు ఇస్సాకు పుట్టకముందే, దేవుడు ఆమె పేరును శారయి నుండి యువరాణి అని మార్చాడు.",సారాయి,,,
n,శారయి,,,"శారయి అబ్రాహాము మొదటి భార్య, ఆమె ఇస్సాకుకు తల్లి అయ్యింది. దేవుడు శారయి పేరును సారాగా మార్చాడు. (శారయి అంటే కలహకారి అని అర్థం, సారా అంటే యువరాణి అని అర్థం.)",సారా,,జిసి 15-ఫిబ్రవరి-2019,
n,సాతాను,దయ్యం,వంకర నోరు (G); దేవుని శత్రువు; దుష్టశక్తుల ముఖ్య నాయకుడు (G); ఇతరులను నిందించే ఆత్మ; సెయ్తానే (W),"సాతాను అంటే నిందించేవాడు లేదా శత్రువు. సాతాను ఒక శక్తివంతమైన, దుష్ట ఆత్మ లేదా అపవాది, అతను మానవులను తప్పు చేయమని ప్రలోభపెట్టి, దేవుని ముందు వారిని నిందిస్తాడు. అయితే, యేసు దేవుని ముందు విశ్వాసులను సమర్థిస్తాడు. (చివరికి, యేసు సాతానును శాశ్వతంగా అగ్ని సరస్సులోకి పడవేస్తాడు.)","రాక్షసుడు, బీల్జెబూలు",PNG లో సెయ్తానే ఉపయోగకరంగా లేదు.,"హీబ్రూలో, అతను హ-సాతాను = అపవాది. ప్రకటన గ్రంథం మాత్రమే సాతాను = సర్పం = డ్రాగన్ = అపవాది అని చేస్తుంది.",
n,సౌలు,,,"సౌలు అనే ఇద్దరు వ్యక్తులు ఉన్నారు: (1) యేసు కంటే 1100 సంవత్సరాల ముందు ఇశ్రాయేలు తమ మొదటి రాజుగా ఎంచుకున్న పొడవైన, అందమైన వ్యక్తి. (2) క్రైస్తవులను చంపడానికి ప్రయత్నించిన యూదు పరిసయ్యుడు. తరువాత అతను క్రైస్తవుడిగా మరియు అపొస్తలుడిగా మారి, పౌలు అనే పేరును ఉపయోగించి అన్యజనులకు సువార్తను తీసుకువెళ్లాడు. (సౌలు అనే హీబ్రూ పేరు అంటే అడగబడింది అని అర్థం.)",,,జిసి 08-మార్చి-2019,
t,రక్షకుడు,, కారణం-జీవించేవాడు (R); రక్షించేవాడు/బట్వాడా చేసేవాడు (మనకు) (G);,"దేవుడు ఇశ్రాయేలీయుల రక్షకుడు, తరచుగా వారిని వారి శత్రువుల నుండి రక్షించేవాడు. యేసు మానవులందరికీ రక్షకుడు, సాతాను శక్తి నుండి, దేవుని కోపం మరియు తీర్పు నుండి, శాశ్వత మరణం నుండి మరియు నరకం నుండి, విశ్వాసంతో తనను ప్రార్థించే వారందరినీ రక్షిస్తాడు. (క్రైస్తవులు రక్షించబడ్డారని కొత్త నిబంధన ఇలా చెబుతుంది.)",,,,
t,రాజదండం,, పాలక కర్ర (G);,సెప్టర్లు అంటే రాజులు చట్టాలు లేదా నిర్ణయాలు తీసుకునేటప్పుడు తమ చేతిలో పట్టుకునే కర్ర లేదా బంతి [కర్రపై]. సెప్టర్ అనేది రాజ అధికారానికి చిహ్నం.,,,జిసి 08-మార్చి-2019,
t,లేఖకుడు,లేఖకులు,ప్రజల గురువు (జి); సాంస్కృతిక న్యాయ నిపుణుడు; ప్రజలకు సాంస్కృతిక చట్టాన్ని బోధించే వ్యక్తి; చట్టాల గురువు (ఆర్); ఇతరులకు పత్రాలు/పుస్తకాలు వ్రాయగల విద్యావంతుడు; రిపీటర్ (W), ,"యూదు మత నాయకుడు, పరిసయ్యుడు, సద్దూసీ",,,
t,గ్రంథపు చుట్ట,స్క్రోల్స్, చుట్టిన పుస్తకం; చుట్టిన కాగితం (G);,"గ్రంథపు చుట్ట అనేది ఒక పొడవైన తోలు ముక్క (లేదా పాపిరస్), దానిపై పురుషులు పదాలు రాశారు. వారు దానిని నిల్వ చేయడానికి స్క్రోల్‌ను చుట్టారు మరియు దాని నుండి చదవడానికి దాన్ని విప్పారు. పుస్తకాలు ఒక అంచున కలిసి కట్టబడిన అనేక చిన్న కాగితపు ముక్కలు. స్క్రోల్ అనేది పుస్తకాన్ని తయారు చేయడానికి ఒక పాత రూపం లేదా మార్గం. స్క్రోల్ అనేది చుట్టబడిన పుస్తకం. పుస్తకం అనేది పేర్చబడిన పేజీల ఫ్లాట్ స్క్రోల్.","బైబిల్, పుస్తకం",,జిసి 23-ఫిబ్రవరి-2019,
t,సముద్రం,సముద్రం, పెద్ద నీరు/నది (జి);,భూమిలో సగానికి పైగా లోతైన ఉప్పు నీటితో కప్పబడి ఉంది. లోతైన నీటిలోని విశాలమైన భాగాలను సముద్రాలు లేదా మహాసముద్రాలు అంటారు. నీటిపై తేలియాడే ఓడలు అని పిలువబడే పెద్ద పడవలలో పురుషులు సముద్రాలను దాటవచ్చు.,"నది, నీరు",,జిసి 19-ఫిబ్రవరి-19,
t,గ్రీకు బైబిలు,,,"గ్రీకు బైబిలు అంటే 70, పాత నిబంధన గ్రీకులోకి అనువదించబడింది. యేసుకు దాదాపు 330 సంవత్సరాల ముందు, గ్రీకులు ఇజ్రాయెల్ మరియు ఐగుప్తును జయించారు, అక్కడ చాలా మంది యూదులు నివసించారు. యూదులు గ్రీకు మాట్లాడటం ప్రారంభించినప్పుడు, వారిలో 70 మంది పాత నిబంధనను హెబ్రూ నుండి గ్రీకులోకి అనువదించారు. (కొత్త నిబంధన తరచుగా హీబ్రూ నుండి కాకుండా సెప్టువాజింట్ నుండి వచనాలను ఉదహరిస్తుంది.)",,,"అది ఎక్కువ లేదా తక్కువ సంప్రదాయం. వాస్తవికత కొద్దిగా భిన్నంగా ఉండవచ్చు, ఎందుకంటే తనఖ్ యొక్క ఇతర గ్రీకు అనువాదాలు కూడా ఉన్నాయి.",
t,సేవకుడు,సేవకులు, ఒకరి కోసం పనిచేసే వ్యక్తి (జి);,"ఒక సేవకుడు వేరొకరికి సహాయం చేస్తాడు లేదా పని చేస్తాడు. సేవకులు (1) జీతం కోసం పనిచేసే వ్యక్తులు కావచ్చు, (2) జీతం లేకుండా బలవంతంగా పని చేయించిన బానిస లేదా రుణగ్రహీత కావచ్చు, (3) తమ యజమానిని ప్రేమిస్తున్నందున వారి కోసం స్వేచ్ఛగా పనిచేసే వ్యక్తులు కావచ్చు. సేవకులు కాని పేదవారి కంటే శక్తివంతమైన వ్యక్తి కోసం పనిచేసే సేవకులు చాలా ముఖ్యమైనవారు. ప్రవక్తలు మరియు క్రైస్తవులు ప్రభువు సేవకులు అని పిలుస్తారు ఎందుకంటే వారు తమ యజమాని అయిన ప్రభువును స్వేచ్ఛగా సేవిస్తారు.",బానిస,,జిసి 07-ఫిబ్రవరి-19,
t,సిగ్గు,"సిగ్గు, సిగ్గు, సిగ్గుచేటు", సిగ్గుపడండి (జి);,"సిగ్గు అనేది అపరాధ భావన నుండి వచ్చే ఒక భావన లేదా భావోద్వేగం. ఇతరులను సిగ్గుపరచడం అంటే వారు చేసిన చెడు చర్యలను చెప్పడం. తాము ఏదైనా తప్పు చేయలేదని బలంగా కోరుకున్నప్పుడు లేదా వారు తప్పు లేదా చెడుగా నిరూపించబడినప్పుడు మానవులు సిగ్గుపడతారు లేదా సిగ్గుపడతారు. మన అవమానాన్ని తొలగించడానికి యేసు మనకోసం చనిపోయాడు, తద్వారా మనం క్షమించబడ్డామని మరియు ప్రేమించబడ్డామని భావించవచ్చు.","అపరాధం, క్షమించు",అపరాధ సంస్కృతిలో ఇది నిజం: మానవులు తాము తప్పు చేయలేదని బలంగా కోరుకున్నప్పుడు సిగ్గుపడతారు లేదా సిగ్గుపడతారు. కానీ సిగ్గు సంస్కృతిలో ప్రజలు తమ పరువు కోల్పోయినప్పుడు/తప్పు/చెడుగా నిరూపించబడినప్పుడు సిగ్గుపడతారు.,జిసి 23-ఫిబ్రవరి-2019,
n,షెకెము,,,"షెకెము అనే దుష్టుడు యాకోబు కుమార్తె దీనాను అత్యాచారం చేసిన తర్వాత, ఆమె సోదరులు అతన్ని చంపారు. కనానీయుల వంశం షెకెము అని పిలువబడింది. షెకెము అనే పట్టణం ఇశ్రాయేలులో ఏడు 'ఆశ్రయ నగరాలలో' ఒకటిగా మారింది, అక్కడ హత్య ఆరోపణలు ఎదుర్కొంటున్నవారు రక్షణ కోసం పారిపోవచ్చు. (షెకెము అనే పేరుకు జీవం అని అర్థం కావచ్చు.)",,,జిసి 19-ఫిబ్రవరి-19,
t,గొర్రెలు,, సిప్సిప్ (K); సిప్ (R); జింక లాంటి జంతువు (G);,"గొర్రెలు నిశ్శబ్దంగా మరియు సిగ్గుపడే జంతువులు, కుక్కల కంటే పెద్దవి. అవి మేకలను పోలి ఉంటాయి కానీ లావుగా ఉండే తోకలు కలిగి ఉంటాయి. అవి మందలలో లేదా మందలలో ఉంటాయి మరియు పొడవాటి జుట్టు/బొచ్చు/ఉన్ని పెంచుతాయి. మానవులు గొర్రెలను పెంచుకుంటారు, వాటి ఉన్నిని కత్తిరించి వస్త్రం తయారు చేస్తారు మరియు కొన్నిసార్లు వాటి మాంసాన్ని తింటారు. ఇశ్రాయేలీయులు తరచుగా దేవుణ్ణి ఆరాధించడానికి గొర్రెలను బలి ఇచ్చేవారు. మగ గొర్రెను పొట్టేలు అంటారు. ఆడ గొర్రెను ఆడ గొర్రె అంటారు. గొర్రె పిల్లను గొర్రె అంటారు. బాప్తిస్మమిచ్చే యోహాను మరియు బయల్పరిచే యోహాను యేసును దేవుని గొర్రెపిల్ల అని పిలిచారు. (యేసు తనను తాను గొర్రెల కాపరి అని పిలిచాడు మరియు మమ్మల్ని తన గొర్రెలు అని పిలిచాడు.)","గొర్రెల కాపరి, మేక",,గొర్రెలు కాసే వాళ్ళు దీన్ని చూసి నవ్వుకుంటారు.,
t,గొర్రెల కాపరి,గొర్రెల కాపరులు, గొర్రెలను మేపుకునేవాడు (G);,"గొర్రెలను లేదా మేకలను నడిపించే మరియు రక్షించే వారిని గొర్రెల కాపరులు అంటారు. యేసు తనను తాను మన మంచి కాపరి అని పిలిచాడు, ఎందుకంటే ఆయన మనలను దేవుని వద్దకు నడిపిస్తాడు మరియు మనల్ని జాగ్రత్తగా చూసుకుంటాడు.","గొర్రె, మేక",,జిసి 23-ఫిబ్రవరి-2019,
n,షిలో,,,"షిలోహు సమరయ ప్రావిన్సులో ఉన్న ఒక పురాతన ప్రాకార నగరం, అక్కడ ఇశ్రాయేలీయులు తమ పాత ఆరాధనా గుడారాన్ని ఉంచారు. చాలా మంది ఇశ్రాయేలీయులు ప్రభువును ఆరాధించడానికి షిలోహుకు వార్షిక తీర్థయాత్ర చేసేవారు.",,,,జిసి 7/7/2019
n,షిలో,,,"షిలోహు అనేది యూదా ప్రావిన్స్‌లోని ఒక పట్టణం, ఇశ్రాయేలీయులు కనానులో స్థిరపడిన తర్వాత అక్కడ పాత ఆరాధన గుడారం, నిబంధన మందసం ఉంచబడ్డాయి. ప్రవక్త సమూయేలు షిలోహు నుండి వచ్చాడు.",,,జిసి 07-ఫిబ్రవరి-19,
t,ఓడ,ఓడలు, పెద్ద పడవ (జి);,"ఓడలు అనేవి చాలా పెద్ద పడవలు, ఇవి ప్రయాణీకులను మరియు సరుకులను ఎక్కువ దూరం తీసుకువెళతాయి మరియు సముద్రం లేదా విశాలమైన సరస్సులపై ప్రయాణించాయి.","మురికి, పడవ",,జిసి 19-ఫిబ్రవరి-19,
n,సీదోను,,,"సీదోను అనేది ఇశ్రాయేలు ఉత్తరాన సముద్రానికి దగ్గరగా ఉన్న ఒక ధనిక, అన్యమత, శత్రు నగరం, అక్కడ వారు ఇతర దేవుళ్లను పూజించారు. దుష్ట రాణి యెజబేలు సీదోను నుండి వచ్చింది. యేసు ఒకసారి ఒక విధవరాలికి మరియు ఆమె చిన్న కుమార్తెకు సహాయం చేయడానికి అక్కడికి వెళ్ళాడు. (సీదోను అనే పేరుకు చేపల పట్టణం అని అర్థం.)",,,జిసి 19-ఫిబ్రవరి-2019,
n,సీను,సియన్,,ఇశ్రాయేలీయులు ఐగుప్తు నుండి తప్పించుకున్న తర్వాత చాలా నెలలు నివసించిన అరణ్య ప్రాంతం పేరు సీను.,,,వాళ్ళు అక్కడ ఏమి తిన్నారో కథ నుండి తెలుసుకోవచ్చు.,
n,సీలా,,,"సీలా యెరూషలేముకు చెందినవాడు. అతను పౌలుతో కలిసి అనేక నగరాలకు ప్రయాణించాడు, అక్కడ వారు కొత్త చర్చిలను స్థాపించారు (అపొస్తలుల కార్యములు 15, 16, 17, 18). (సీలా అనే పేరుకు 'అడవి కాపరి' అని అర్థం.)",,,,జిసి 7/7/2019
t,వెండి,, హార్డ్ మనీ (జి);,"వెండి అనేది కప్పులు, కుండలు, గిన్నెలు మరియు డబ్బు నాణేలను తయారు చేయడానికి ఉపయోగించే ఒక ప్రకాశవంతమైన, ఖరీదైన లోహం.",బంగారం,,జిసి 19-ఫిబ్రవరి-2019,
n,సీమోను,సిమియన్,,"సీమోను అనే పేరుగల చాలా మంది పురుషులు ఉన్నారు, ఆ పేరును మరొక విధంగా చెప్పాలంటే సిమియోను. అపొస్తలుడైన పేతురును సీమోను మరియు కేఫా అని పిలిచేవారు.",,,జిసి 08-మార్చి-2019,
t,పాపం," పాపం, పాపాలు, పాపం, దుష్టత్వం, దుష్టత్వం,", చెడు పనులు/ఆలోచనలు; చెడు ప్రవర్తన (R); (ఫలితంగా) అపరాధ భావన; దేవుడు ఇష్టపడని/కోరుకునే పనులు చేయడం; చెడు/తప్పు మార్గాల్లో వెళ్లడం; దేవుడు చెడుగా భావించే పనిని చేయడం (G); మంచిది కాని పని (G);,"దేవునికి అసహ్యకరమైన ప్రతి మానవ చర్య పాపం. దేవుని నియమాన్ని ఉల్లంఘించే పాపాలు అతిక్రమణలు. మానవ చట్టాన్ని ఉల్లంఘించే పాపాలు నేరాలు. బాల్యంలో జీవించి ఉన్న మానవులందరూ పాపాలు చేస్తారు. ఒక వ్యక్తి దేవుని ఆజ్ఞను ఉల్లంఘించినప్పుడల్లా అది పాపమే. అది మానవుల దృష్టిలో చిన్నదైనా లేదా పెద్దదైనా, అది ఇప్పటికీ దేవుని దృష్టిలో పాపమే. (యేసు మన పాపాల కారణంగా తన సిలువపై మరణించాడు కాబట్టి, దేవుడు మనందరి పాపాలను క్షమించగలడు.)",కుడి,,,
n,సీనాయి,"సీనాయి పర్వతం, సీనాయి పర్వతం",,"అరేబియాలోని సీనాయి పర్వతం మీద దేవుడు మోషేను కలిశాడు, అక్కడ దేవుడు రాళ్లపై పది ఆజ్ఞలను వ్రాసి, ఇశ్రాయేలీయులతో ఒక నిబంధన చేసాడు.",,,కొంతమంది పరిశోధకులు ఇప్పుడు సినాయ్ సౌదీ అరేబియాలోని జెబెల్-ముసా (మోసెస్ పర్వతం) అని నమ్ముతున్నారు.,
n,సిసెరా,,,"దెబోరా న్యాయాధిపతిగా ఉన్నప్పుడు సీసెరా ఇశ్రాయేలీయులతో పోరాడిన కనానీయుల సైన్యాధ్యక్షుడు. సీసెరా పారిపోయి ఒక స్త్రీ గుడారంలో దాక్కున్నప్పుడు, ఆమె అతన్ని చంపింది. ఆమె పేరు యాయేలు.",,,,జిసి 7/7/2019
t,బానిస,"బానిసలు, బానిస బానిస", జీతం లేకుండా/ఏ జీతం లేకుండా పనిచేసే వ్యక్తి (G);,"పురాతన కాలంలో, చాలా దేశాల పౌరులు రెండు రకాల పౌరులను కలిగి ఉన్నారు: మరొక వ్యక్తికి చెందని స్వేచ్ఛావాదులు మరియు మరొకరికి చెందిన బానిసలు లేదా బానిసలు, వారు జీతం లేకుండా సేవ చేశారు. కొంతమంది బానిసలు యుద్ధ ఖైదీలు, మరికొందరు తమ అప్పులు చెల్లించలేకపోవడంతో బానిసలుగా మార్చబడ్డారు. ఒక బానిస డబ్బు సంపాదించి ఆదా చేయగలిగితే, అతను తన స్వేచ్ఛను కొనుగోలు చేయగలడు.",సేవకుడు,నిర్వచనాన్ని చూపించడానికి సెల్ పరిమాణాన్ని పెంచండి.,జిసి 07-ఫిబ్రవరి-19,
t,పాము,"సర్పం, పాములు, పాములు",," పాములు అనేవి కాళ్ళు లేదా కాళ్ళు లేని పొడవైన, సన్నని జంతువులు/జంతువులు. కొన్ని పాములు ఇతర జంతువులను విషంతో కొరికి చంపుతాయి. మరికొన్ని వేరే జంతువు చుట్టూ చుట్టుకుని, వాటిని పిండడం ద్వారా చంపుతాయి.",డ్రాగన్,,జిసి 15-ఫిబ్రవరి-2019,
n,సొదొమ,సొదొమైట్స్,,"గొమొర్రా అనే పట్టణానికి సమీపంలో లోతు మరియు అతని కుటుంబం నివసించిన పట్టణం పేరు సొదొమ. సొదొమ మరియు గొమొర్రా పురుషులు భయంకరమైన లైంగిక పాపాలు చేశారు. దీని కారణంగా, దేవుడు ఈ పట్టణాలను అగ్నితో నాశనం చేశాడు.",,,,
n,సొలొమోను,,,"సొలొమోను, దీని పేరు శాంతి అని అర్థం, దావీదు రాజు కుమారులలో ఒకడు. బత్షెబ సొలొమోను తల్లి. దావీదు తర్వాత సొలొమోను రాజయ్యాడు మరియు యెరూషలేములో దేవునికి మొదటి ఆలయాన్ని నిర్మించింది అతనే. సొలొమోను దేవుని ముందు తనను తాను తగ్గించుకున్నందున, దేవుడు అతన్ని జ్ఞానవంతుడిని మరియు అత్యంత ధనవంతుడిని చేశాడు. (అయితే, తరువాత సొలొమోను అనేక మంది భార్యలను వివాహం చేసుకుని, వారు అన్యమత దేవుళ్లను ఆరాధించడానికి అనుమతించడం ద్వారా పాపం చేశాడు.)",,,,
t,దేవుని కుమారుడు,దేవుని కుమారుడు," మానవ రూపంలో ఉన్న దేవుడు; దేవుని బిడ్డ (R, W); దేవుడు అయిన మనిషి; దేవుడు!; దేవుని కుమారుడు (G) (మార్కు 15:39);","ఇశ్రాయేలులో, దేవుడు రాజులను తన కుమారులు అని, తనను తాను వారి తండ్రి అని పిలిచాడు. ఆ విధంగా, 'దేవుని కుమారుడు' అనేది రాజులకు ఒక బిరుదుగా మారింది, మరియు 'దేవుని కుమారుడు' అనేది మెస్సీయ లేదా క్రీస్తు అని పిలువబడే గొప్ప రాజుకు ఒక బిరుదుగా మారింది. (కొత్త నిబంధన యేసు దేవుని కుమారుడని, యేసు మానవ శరీరంతో జన్మించిన దేవుడు అని వెల్లడిస్తుంది.)","మనుష్యకుమారుడు, మెస్సీయ",,"జిసి: బైబిల్ శీర్షికలను వారి అధిభౌతిక ఊహాగానాలకు సరిపోయేలా చేయడానికి వేదాంతవేత్తలు అన్ని రకాల వక్రీకరణల ద్వారా వెళతారు. యేసు నిజంగా మానవుడు మరియు నిజంగా దేవుడు అయినప్పటికీ, అది శీర్షిక యొక్క ప్రధాన ఉద్దేశ్యం కాదు.",
t,మనుష్యకుమారుడు,పురుష కుమారుడు,మానవ కుమారుడు; మనుష్యకుమారుడు (R); మనుష్య కుమారుడు (G); మానవ కుమారుడు; పరలోక పురుషుడు;,"ప్రవక్త అయిన దానియేలు ఒకసారి పరలోకంలో 'మనుష్యకుమారుని' పోలిన ఒక వ్యక్తిని దర్శనంలో చూశాడు, అతను ప్రపంచంలోని అన్ని దేశాలపై దేవుని నుండి గొప్ప అధికారం పొందాడు. అతని భవిష్యత్ రాజ్యం మరియు పాలన ఎప్పటికీ అంతం కాదు లేదా నాశనం కావు. దానియేలు దర్శనంలో మానవ శరీరంతో స్వర్గం నుండి వచ్చిన వ్యక్తి తానేనని బోధించడానికి యేసు తరచుగా తనను తాను మనుష్యకుమారుడు అని పిలిచేవాడు. (ప్రకటన గ్రంథం యేసును విశ్వాసుల మధ్య మనుష్యకుమారుడిగా మరియు కోత కోసేవాడు లేదా కోసేవాడుగా అనేకసార్లు వర్ణిస్తుంది.)"," దేవుని కుమారుడు, మెస్సీయ",,"GC: బైబిల్ శీర్షికలను వారి అధిభౌతిక ఊహాగానాలకు సరిపోయేలా చేయడానికి వేదాంతవేత్తలు అన్ని రకాల వక్రీకరణల ద్వారా వెళతారు. యేసు నిజంగా మానవుడు మరియు నిజంగా దేవుడు అయినప్పటికీ, అది శీర్షిక యొక్క ప్రధాన ఉద్దేశ్యం కాదు. GC: వాక్యనిర్మాణాన్ని కొంచెం సరళీకరించారు.",
t,ఈటె,, పొడవైన బాణం (G);, ఈటెలు అనేవి పొడవైన చెక్క కడ్డీ మరియు పదునైన మూల కలిగిన ఆయుధాలు. సైనికులు యుద్ధంలో శత్రువులపై ఈటెలను విసిరేవారు లేదా విసిరేవారు.,,,జిసి 08-మార్చి-2019,
t,ఆత్మ,"ఆత్మలు, దెయ్యాలు, దయ్యాలు",జీవి (W);,"ఆత్మలు అంటే మనకు మానవులకు కనిపించని జీవులు. దేవుడు శాశ్వతమైన ఆత్మ. ఇతర ఆత్మలు దేవుడు సృష్టించిన తక్కువ ఆత్మలు. దేవదూతలు మరియు రాక్షసులు ఆత్మలు. ప్రతి మానవుడు కలిసి ఒక ఆత్మ మరియు కనిపించే శరీరం. మానవులు చనిపోయినప్పుడు, వారి ఆత్మ ఒక దెయ్యం అవుతుంది, అది కొత్త శరీరాన్ని పొందే వరకు.","రాక్షసుడు, దేవదూత",ఇతర దేవతలు -> ఇతర ఆత్మలు,జిసి 23-ఫిబ్రవరి-2019,
t,సిబ్బంది,సిబ్బంది,,"కర్ర అనేది నడుస్తున్నప్పుడు పట్టుకోవడానికి బలమైన చెక్క కర్ర, ఇది రక్షణ ఆయుధంగా ఉపయోగపడుతుంది.",,,,జిసి 7/7/2019
