, term -Hindi,Alternate forms and synonyms.- Hindi,Other language examples (back translations),Meaning notes. Definitions. - Hindi,Related (but different) terms - Hindi,,,,,,,,,,,,,,,,,,,,,,,
t,???????? ???? ,???????? ,"(1) calling God's good onto (someone);
(2) coming/falling on (coming to someone's aid/help/support or showing grace to someone);
speak well / to say good things about (G); cause-blessed/fortunate (R); barke (W from Arabic)","???????? ???? ?? ???? ?? (1) ?????? ?? ????? ???? ????, (2) ???? ??? ????? ???? ?? ????? ????, (3) ???? ??? ????? ??????? ????, ?? (4) ?????? ????? ?????? ????? ?????????  ???? ???????? ???? ???, ?? ?? ?????? ?? ???????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,??? ,,"blood (G);
","??? ?? ??????? ???? ?? ???? ??, ????? ????? ???? ???????? ?? ??????? ???? ?? ???? ??? ??? ?? ???? ?? ???? ?? (?) ????? ?????? ??? ??? ??? ?? ??? ??????, (?) ????? ?????? ?? ?????, ?? (?) ????? ?? ???? ?? ??????? '????? ?? ???' ?? ???? ?? ????? ?? ?????",,,,,,,,,,,,,,,,,,,,,,,,
t,???,????,"kanu (transliterated from canoe) (G);
","???, ????? ?? ??? ?? ?????? ?? ??? ???????? ??? ???? ???? ????? ?? ???? ?? ??? ?? ??????? ???? ??? ????????? ????? ????? ?? ??? ???? ???? ????? ?? ???? ???? ??? ???? ??? ????? ?? ???? ??? ???? ?? ???? ???? ???? ??? ??? ??? ???? ?? ?? ???? ???? ????? ?? ???? ????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??????,????????,"paper (G, W);
","???????? ?????/???????? ?? ????? ?? ????? ???? ??? ??????? ?? ?????? ?? ?? ??? ????? ???? ??? ??????? ?????/????? ?? ???/????? ?? ?? ???? ??? ?? ??? ???? ??? ??????? ?????? ?? ????? ???? ??? ?????? ?? ???? ????? ?? ?? ??? ?? ???? ?? ????? ??? ??? ?? ?????? ??, ???? ?????? ?? ??????? ?????? ???????? ?? ?????? ?? ?? ?????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,,"that which we eat / our food (tapioca, pancake) (G);
sago (PNG);","???? ?? ?????? ?? ???? ?? ?? ???? ??? ???? ?? ???? ?? ?? ????? ?? ????? ???? ??? ????? ??? ????? ?? ??? ???? ?? ?? ???? ??? ??? ???? ??? ???? ? ??, ?? ?? ???? ?? ??????? ?? ???? ??? ??? ????? ??? ???? ????????? ?? ???? ??? ???? ?? ????? ??? ??? ???? ??? ???? ???? ?? ???? (???? ???? ????? ???? ??), ???? ?? ???? ?? ""???? ?? ????"" ??? ???? ???
????? ?????? ?? ?? ?? ????? ?????? ?? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????,,salfa (K),???? ?????????? ?? ????? ???? ???? ???????? ?????? ??? ???????? ???? ?? ???? ?? ???? ?????? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,????,"redish metal (hard rock) (G);
","????? ?? ???? ????, ?????? ?????? ??? ?? ?????, ????? ?? ??? ?? ?????? ?? ???? ???? ????? ?? ?????? ???, ??? ?????, ?????? ?? ????? ????? ?? ???? ?? ???? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,??????? ???? ???? ,make (G);,"???? ???? ?? ??????? ???? ?? ???? ?? ??? ???? ?? ????? ?????? ?? ????? ?? ???? ??, ??????-?????? ???? ??? ?? ?????? ????? ?? ??????? ?? ?????? ??????? ???? ?? ???? ?? ?????? ?????? ??????",,,,,,,,,,,,,,,,,,,,,,,,
t,??? ,????? ,"kamel-animal; kamel (K); gimel (W from Arabic)
",??? ?????? ?? ???? ?? ???? ???? ???? ??? ??? ?? ????? ?? ???? ???? ??? ??? ?? ???? ???? ??? ?? ????? ?? ??????? ????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,??????????,,jewel; konilian (K)' precious stone (W),"?????????? ?? ?????? ?? ??????, ??? ??? ?? ????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,"?????, ????????? ","cut-cut wood carefully to make something (G);
",???? ???? ?? ?????? ?? ???? ?? ??? ???? ?? ???? ?? ??? ??? ??????? ?? ?????? ??? ????? ?? ????? ?? ????????? ?????? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,??????? ,"chief of soldiers (G); battle leader (W)
","??????? ?? ???? ????? ??????? ???? ?? ?? 100 ??????? ?? ?? ???? ??????? ??? ??? ?????? ??? ???? ?? ??????? ?? ???? ""100"" ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,???????? ,tied up (G);,???????? ?????? ???? ?? ????? ?? ??? ????? ?? ??? ???? ??? ?? ??? ??? ????? ???? ???? (???-??? ???????? ?? ???????? ????????? ?? ???-??????? ???? ?????? ????? ?? ?????? ?? ????????? ???? ?? ??? ???? ???? ??),,,,,,,,,,,,,,,,,,,,,,,,
t,??,???? ,"chariot (transliterated) (G);
",?? ???? ??? ?? ???? ???? ?? ?????? ???? ???? ???? ??? ??????? ????? ?????? ???? ???? ?? ?????????? ??????? ???? ??? ?????? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,?????,,"???? ?? ?????? ?? ???? ???: (1) ??? ???? ?????????, ???? ???? ?? ?????? ?? ???? (2) ??????? ?? ?????? ??? ???????? ?? ??????? ?? ????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,????,"????????, ?????",al-Masih (W),"???? ??? ??? ???? ??, ???? ?? ????? ?? ????? ???? ?? ????????? ?????? ???? ???, ???????? ???? ?? ???? ?? ??????????? ?? ??????? ??? ?? ?????? ???? ??? ?? ???? ???, ???????? ?? ???? ?? ???? ?????? ????? ?? ?????? ????? ???????, ???? ??? ???? ???? ?? ?????? ???? ???? ?????? ?? ?? ??? ?? ??? ??? ???? ???? ??? ????? ??? '????' ?? ?????? '?? ???? ????? ??? ?? ???????? ?? ???? ???? ?? ?? ?? ?? ??? ????' ?? ??? ??? ???? ?? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,"????, ????? ","?????, ???????? ","group of those who believe (Jesus);
Christ-followers; Christ’s one (R)
those who follow al-Masih (W)","???? ?? ??????? ???? ?? ""???? ????"", ?? ""???? ?? ???????"", ?? ?? ???? ?? ?????? ?? ???????? ?? ???? ???? ????
????? ??????? ?? ?? ??? ?? ????? ???? ??? ?? ??? '???' = ?????? ???, ?? ???????? ?? ???; '????????' = ?? ?? ???? ??? ??????? ???? ???; '?????' = ?? ?? ???? ?? ??????? ?? ???? ???? ???; '???-???' = ?? ?? ??-????? ?? ????? ???? ???; '????' = ?? ?? ?? ??? ?????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???????,???????,"Gathering of believers (W); people of faith (R); people of worship (K)
","???? ?? ?????????? ?? ???????? ?????? ?? ??????? ??, ?? ??? ???? ????????? ?????, ?????? ?? ?? ?????? ???, ???? ?? ??????? ???? ???? ????? ??????? ?? ???? ?? ??? ?? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,??????? ,sinamon (R); kinamon (K);,??????? ?? ??????? ????? ?? ?? ?? ??? ??? ?? ???? ?? ??? ?? ???? ??? ??? ??? ??? ?????? ?????? ?? ?????? ???? ?? ???? ?? ??????? ?? ??? ???????? ???? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,???? ???? ,circle cut; cut around (R);,"????? ?? ????? ?? ???? ?? ???? ???? ???? ?? ?????????? ??? ???????? ?? ??? ???????? ??????? ?? ???? ?????? ?? ??? ???? ???? ?? ???? ???? ??, ?? ??????? ?? ??? ?? ?? ???????? ?? ?????? ???? ?? ????? ??????? ???? ?? ???? ???, ???????? ?? ??? ????? ?? ???????? ??????? ?? ??? ??????? ???? ?? ?????? ???? ??? ?????, ???? ?????? ???????? ??? ?? ?? ?????? ?? ??? ???? ???? ?? ?? ???? ???? ?? ???????? ?? ??????? (????) ?????? ?? ????? ?? ???, ??????? ?????? ?????? ???? ?? (??????????? 2:11-13; ??????? 4:11; 1 ??????????? 7:18)? ???? ?????, ???????? ?? ???????? ?? ?? ???? ?? ????? ????? ???????? ?? ?????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??? ,?????,"big town (G, W);
","??? ??? ????? ???? ??? ?? ??????????? ???? ???; ????? ??? ???? ???? ??? ????? ???? ????? ???? ??; ???? ???????? ?? ???? ?? ???? ???? ???? ????? ?? ?????? ???, ??? ????? ?? ???? ?? ??????? ?? ???? ???? ???? ???? ??, ????? ????? ?? ????? ?????? ??????? ????? ?? ????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,????? ???? ,clear (K); clean (R);,"???? ?? ???? ?? ??????, ???????? ?? ???????? ?? ???? ???? ?? ???? ?????????? ????? ???? ?? ?????? ?????? ????? ??? ??? ????????? ?? ???? ???? ??? ?? ??????? ?? ?????? ?? ???? ??? ???? ?? ???? ?? ?????? ??? ??? ?? ??? ?????????? ??? ?? ?????? ?? ???? ???
?? ???? ?? ??????, ???? ?? ????, ?? ??????????? ??, ????? ????? ??????? ?? ?????? ??, ??? ????? ?? ?????????? ?? ????? ???? ??? (???? ??????? ?? ??????? ?? ????? ?? ????????? ???? ??? ??? ??? ?? ????? ???? ??????)",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,"?????,??????? ",,"????? ?? ??? ???? ?? ?? ?? ???? ?????? ?? ????? ?? ??? ???? ??? ????? ?? ??? ???? ?? ?? ?????? ?? ???? ??, ???? ?? ??????? ?? ???? ?? ????????",,,,,,,,,,,,,,,,,,,,,,,,
t,???????,??????,"one-who-is-like-a-wife (G);
","??? ??? ??????? ?? ?? ?????? ?? ????????? ?? ????? ???? ??: ???????? ????? ?????? ?? ??????????? ??????? ?? ???? ??, ?? ?????? ????? ?????? ?? ??????????? ??????? ???? ?? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,????? ???? ,,"????? ?? ???? ?? ???? ?? ??????? ?????? ??????, ???-??? ?????????? ?? ??? ???? ?? ???? ????? ????????? ????????? ?? ????? ???? ???, ???????? ?? ??????????? ?? ???????? ?? ????? ???? ?? ?? ??? ???? ??? ?? ???????? ???? ?????",,,,,,,,,,,,,,,,,,,,,,,,
t, ??????? ???? ," ???????,  ??????? ???? ","tell (G); accept (W)
",??? ??????? ???? ?? ???? ?? ?? ???????? ?? ???? ???? ?? ???? ??? ???? ??? ??? ??? ??????? ???? ?? ??????? ???? ?? ?? ???? ??? ??? ???? ?? ????? ???????? ?? ????? ?? ??? ???? ?? ??????? ???? ?? ???? ?? ?? ?? ???????? ?? ??? ????? ?? ??????? ???? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,??? ,"???, ???????, ","earth / land (G); 
",??? ?? ???? ??????? ????? ???? ?? ???? ??? ?? ????? ??? ?? ???? ????? ?? ?? ???? ??? ??? ?? ??????? ?? ??? ?? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,?????,?????,the wood;  tree cross (K); boards that they cross (W);,"????? ?? ????? ????? ????????? ?? ????? ???? ?? ????? ?? ?? ?????? ??? ???? ??? ???? ??????? ?? ???-????? ?? ????? ?? ?????-??? ?? ??? ?? ???? ????? ?? ???? ?? ????? ?? ???? ???? ?? ?? ???? ???? ??, ??? ??? ???? ?? ??? ???? ???? ??? ????? ????? ?? ???? ???? ?? ????? ?? ???? ?? ???, ???????? ????, ?? ??????? ???? ???, ????? ???? ???? (???? ?? ????? ???? ?? ?? ??? ?????? ?? ?? ???? ?? ?? ???? ??????? ?? ???? ???? ???? ??? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
t,??? ,??? ???? ,"say really bad things to/about (G);speak bad about (R); (strong) anger of God (R); cause harm; punish;
","??? ???? ???? ????? ?? ????? ????? ?????? ????/??? ???? ??? ???????? ?? ?? ??? ?? ??? ???? ?? ?? ????? ???? ?? ????? ???? ????  ???????? ?? ??????? ???? ?? ?? ??? ????, ???? ?? ???? ????? ?? ??? ??  ????????  ?? ??? ?? ???? ?? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,,,"????? ???? ????? ???? ???, ?? ???? ?????? ?? ???? ???? ???, ?? ????????? ?? ???? ???, ??????? ?? ??? ???? ???, ?? ?? ??? ????? ?? ??????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ,"????, ??????, ?????? ",,"?????? ?? ?? ?????? ???: (1) ??????? ??????, ?? ????? ????? ????? ???? ?? ???? ???? ??, (2) ????? ??????, ???? '????? ??????' ??? ???? ??, ?????? ?????? ?? ????? ?? ????? ?? ??? ??? ???? ???? ??, (3) ?????? ??????, ?????? ???????? ?? ???? ?? ?????? ????? ???? ???? ??, (??????? ??? ?? ??? ???? ??, ?? ??? ?????? ??? ?? ??? ???? ??? ?? ?? ???? '??? ???? ?? ???? ????' ?? ???????? ???) ?? (4) ??? ??? ???? ?? ????? ????, ???? ???????? ?? ?????? ????? ?? ?????? ?? '????? ?? ??? ????' ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???????? ,???????? ,,???????? ?? ??????? ????? ?? ???? ???? ????? ???? ??? ??? ?? ???? ???? ?? ?????? ?? ???? ???? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,??????????,"????? ?????, ??????, ????? ???????, ?????, ???????","spirit rebellious to God; 
evil creature (W);
bad spirit (G);demon (R);","???????????? ?? ??????? ??? ????????? ???? ??????????? ???????? ?? ??????? ??????? ???? ??? ?? ?? ???????? ??? ????? ?? ???? ??? ?? ?? ?? ???? ????? ?? ?????? ?? ???? ??? ?? ???????? ?? ????? ???? ?????, ???? ??????? ?? ???? ???? ???, ?? ?? ???? ??? ???? ?? ????? ???? ???? ????? ????? ?????????? ??? ???? ?? ???? ?????????? ?? ????????????/???????????? ?? ??????? ?? ????? ?? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,???????,"learner; student (lit. child of learning) (R); 
ones in training (apprentice);
ones I (Jesus) teach (G);
student (but not like in a classroom);
Christian;
ones who follow /obey Jesus; ","????? ?? ???? ??? ?? ???? ?? ????????? ?? ???? ???? ???? ???? ?? ?? ????? ??? ???? ???? ??????? ?? ????? ?? ?? ?? ?? ??? ??? ???? ?????? ?? ???? ?? ????? ?????, ?????? ???????? ??? ?? ???? ??????? ?? ???? ???? ???????",,,,,,,,,,,,,,,,,,,,,,,,
t,??? ,???,"horse-pig/animal; dongki (R)
small horse; pack-animal (W); animal (called) donki",??? ???? ?????? ???? ????? ??? ??? ?? ??? ????? ?? ???? ???? ??? ??? ???? ?? ??? ?? ?? ?? ?????? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,??????? ? ????,"believe weakly (G); waver (W);
","????? ?? ???? ?? ???? ???? ?? ???? ??? ??????? ? ????, ?? ???? ??? ??? ?? ??????? ? ???? ?? ?? ? ???? ???????? ?? ????? ?? ????? ???? ?? ???? ?? ???? ??? ?? ????? ?? ?? ????? ?? ??????? ? ????? ????? ???? ?? ???? ?? ???? ???? ?? ?????? ?? ??????????? ?? ???? ??? ?????? ?? ????? ?????",,,,,,,,,,,,,,,,,,,,,,,,
t,????,????,large lizard; big snake (K); draagon (R);,"?????? [ ??????,???? ]???????? ???? ?? ????????? ???? ???? ???????? ?? ????? ????? ?? ?????? ????? ??? ???? ?? ??????? ?? ?????????, ?????, ????????? ?? ????? ??? ????? ?? ???? (????) ?? ??? ?? ???? ???? ?? ???? ???? ???????? ?? ???????? ?? ????? ?????? ?? ??? ?????? ????? ????????????? ?? ?????? ??? ???? ?? ????? ?? ?????? ?? ????? ?? ??? ??? ???????? ???? ??? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,???? ,"dream (G);
",???? ?? ???? ??? ?? ??????? ???? ??? ????? ?? ????? ??? ????????  ?? ?????? ???-??? ????? ??? ????? ?? ??? ???? ??? ???????? ?? ????? ?? ????????? ?? ??? ??? ????? ?? ???? ????? ?? ?????? ?? ?? ????? ????? ?? ??? ??????? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ,,"land;
this ground;
ground (G);","?????? ?? ???? ?? (1) ?? ???? ?? ????? ??? ?? ?? ?????? ???? ???, (2) ???? ?? ???? ?? ?? ????, (3) ??? ?? ??????, ?? (4) ?????? ?? ?????? ??????",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,??????? ,"older men (G); leaders (W)
","??????? ?? ????? ??? ???? ??? ????? ????? ??? ??? ???? ??? ?? ????? ????? ????? ???? ??????? ????? ?? ????? ?? ??? ??? ????? ??? ?? ?????????? ?????? ?? ?????? ???? ??? ????????? ??? ??? ??????? ???? ??? ??????? ??????? ?? ????, ?? ????? ?? ???? ??? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ,????????,,"?????? ???? ????????? ?? ???? ?? ???????? ???? ???? ??, ?? ???? ?????? ?? ???? ???? ??? ??? ??? ???? ?????? ?? ???????? ?? ????? ????? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,????????? ,????? ,"all divisions of his land (G); 
","?? ????????? ?? ?????, ??????? ??/?? ????????? ?? ?? ????? ???? ???? ?? ??? ?? ?? ???????? ???? (??????) ?? ?????? ???? ??? ????? ?? ??? ??? ?????, ??????? ?? ??? ??????????? ?? ?????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ,???????? ,"castrated; man (R); 
unmarried man, caused to be that way (G); 
chamberlain (W);","?????? ?? ??????? ???? ?? ????? ????????/?????????? ?? ???? ??? ??? ?????????? ??????? ???-??? ????? ?? ???? ??? ???, ???? ?????? ?????, ?? ??? ?????????? ??? ???? ???? ????? ?? ?? ??? ?? ???-??? ???? ??? ?? ???????? ?? ????? ???? ?? ??????? ????? ?? ????? ??????? ?? ?????? ????? ?? ????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,"?????, ????, ???????",,???? ????? ?? ??? ????? ??? ??????? ???????? ??? ???? ??; ???? ??? ?? ??? ?? ???????? ?? ?????? ?? ??????? ???? ???; ???? ??????? ?????? ?????? ??? ?? ????? ?? ???? ?? ???? ??? ????? ?? ???? ????? ???? ?? ??? ??????? ???? ????,,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,"???????, ?????","saying yes (to someone or something; agreeing; accepting; trusting as true);
trust; belief (R); belief (W); heart/liver (inner being) hangs on something (PNG)","??????? ?? ???? ?? (1) ???? ?? ??????? ????, (2) ???????? ?? ???? ?? ????? ????, ?? (3) ???? ?? ????? ??????? ????? ?????? ?? ?? ????? ?????? (??????) ?? ???, ???????? ?? ????? ?? ????? ????? ?? ?? ?? ?? ?? ???? ??????????? ?? ??????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,,fast (R); ,"????? ?? ???? ?? ??? ??? ?? ??? ? ????? ????? ??? ????????, ???? ?? ???????? ?? ????? ???????? ?? ?????? ?? ??? ??? ????? ???? ??? ???? ???-??? ????? ?? ????????? ?? ??? ??? ????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,"????, ??? ","a magnification (W);  remember (W); 
big meal / food; big day of worship (K); feast (R); 
big dance (festival) / big eating (feast) (G);
","?????? ??? ?????? ???? ??? ?????? ??? ???? ????????? ???? ?? ??? ????? ???? ??? ????? ??, ???? ???? ??? ???? ?? ????? ???? ??? ??????????? ?? ??? ?????? ?????? ????? ?? ??? ?? ???? ???, ?? ?????? ???????? ?? ???? ?? ??? ???? ?? ??? ?????? ???? ??? ??????????? ?? ??????? ??? ??? ??? ?????? ????? ????? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ?? ????,"???????, ????? ?? ????","purification (W); feast when they remembered the day when they opened the house of giving (R); 
a big day of worship so that they would remember the day when they opened the house of giving (K)
","???? ???? ?? 165 ???? ?????, ??????????? (????????) ?? ???? ????? ?? ???? ??????? ?? ???? ?? ???? ?? ??? ???? ????????  ?? ??????? ?? ????? ????? ?? ??????? ????? ?? ????????? ?? ""???????????"" ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,??????????? ?? ????,??????????? ,day of Pentikos (R); ,"??????????? ?? ???? ?? ????? ?? ??? ????? ?? ?? ????? ???, ??????? ??? ???? ?? 50 ??? ??? ??? ??? ??????????? ?? ???, ??? 33 ???, ?????? ????? ???? ??? ?? ??? ?? ???? ?? ???? ??? ??????? ???? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ?? ????,"????????? ?? ????, ?????? ?? ????",day of worship of the Jews which they call the feast of shelters (R); big days of worship of shelters (K); big day for worship called feast of tents,"??????? ?? ????? ??? ?? ??? ???? ???? ???? ?????-???? ??, ????? ??? ??? ???? ?? ???? ????? ???? ?? ???? ???????? ?? ?????? ??? ?? ?????? ?? ??????? ??????? ??? ???? ???, ????????? ???? ??? ????? ??? ????? ??? ??????? ??? ????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,??? ?? ????,???,feast of go past (R); big day of worship of Go Past (K); ,"????? ?? ?????? ??? ??? ?? ??????? ???? ?? ?????, ????? ???? ???????? ?? ????? ?? ?????? ?? ????? ?? ??? ?????? ???? ?? ???, ???????? ?? ??????? ?? ?? ?? ?? ????? ?? ?? ?? ?? ???? ???? ???? ?? ??? ????? ?? ??? ???? ??? ??????, ????? ?? ???? ?? ???? ?? ????? ?? ????? ???? ??? ???? ??????? ?? ???? ?? ???????? ????, ??? ???? ???? ?? ?????? ??????? ???? ?? ????? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ???? ?? ????,?????? ????,feast of bread no yeast in it (R); big day of worship of bread no yeast in it (K); ,"?????? ???? ?? ??????? ????? ??? ?? ???? ?? ??? ??? ????? ?? ???? ??? ?? ??? ????? ???, ????? ??? ???? ???? ???? ???? ???? ???, ???? ?? ??? ?? ???? ?? ???? ???? ?????? ????? ?? ??? ????? ?? (???? ????? ?? ?????? ????? ???? ???? ?? ??????? ???? ?? ?? ??? ???? ????)?",,,,,,,,,,,,,,,,,,,,,,,,
t,??????? ,"????, ???????, ?????",,"??????? ????? ??? ???? ??? ?? ??? ???? ???? ?? ??? ???? ??? ?? ????? ?? ?????? ???? ???? ??? ?? ??? ?? ?????? ?? ??? ??? ?? ??? ???? ?? ???? ???? ??????? ??? ??? ??????? ??????? ???? ???, ?????? ??? ?? ???? ?? ????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,?????,fig (R); ,????? ?? ?????? ?? ????? ????? ??? ???? ?? ???? ???? ???? ???,,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,"?????, ????? ????? ???","the one who doesn't really know things (G); 
","????? ?? ?? ?? ?????? ?? ??????? ?? ?????? ?? ???/????????????/???? ????? ???? ??? ???????? ????? ?? ?? ????? ???????? ????, ?????? ????? ?? ???? ????? ?????? ??????? ?? ?????? ????? ??????? ?? ????????? ????? ?? ??? ???? ????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,????? ,"????? ????, ????? ??? ??? ",erase (R); put arm around their shoulders (S-I);,"????? ???? ?? ???? ?? ?? ????? ?? ????? ? ???? ?? ????? ???? ????????? ??? ???? ?? ?? ?????? ?? ??? ????? ????? ??, ??? ????? ?? ??? ???? ??, ?????? ???? ??? ?? ??? ???????? ?? ????????? ????? ???? ?????",,,,,,,,,,,,,,,,,,,,,,,,
t,???,"????, ???",,"???? ???? ?? ????? ?? ???? ?? (1) ???? ???? ????? ??? ???? ?? ???? ???? ????? (?????? ?? ???, ?????? ?? ???? ???? ?? ??? ???? ????? ?? ???? ??), ?? (2) ????? ?? ?? ?? ???? ??? ?? ??? ?????",,,,,,,,,,,,,,,,,,,,,,,,
t,?????? ?,?????????,fox (G); ,"?????? ?? ????? ????? ?? ?? ???? ?????? ???? ???? ?? ?? ????? ????? ???, ??? ????, ?????? ???? ?? ? ?????? ???? ???? ???? ???? ?????? ?????? ?? ??? ????? ?? ????? ???? ?? ?? ????, ???? ?? ????? ???? ???? ??????? ?? ?? ???? ??? ??? ??????????? ???????, ??????, ?????????? ?? ?????? ???? ????? ?? ????? ???? ?? ??? ?????? ?? ?????? ????????? ??? ??? ???? ???? ?????? ?? ???, ??? ??? ????? ????? ??, ?? ??? ?????? ??? ?? ???? ??? ???? ??????? ?? ?????? ??? ???? ??, ????? ???? ?? ?? ??????? ????? ?? ?????? ??? ?? ????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,,"sticky substance whose smoke smells good (R); 
 powder cooked/burned and its smoke smells good and it is called insens (K)","????? ?? ???? ?? ?? ?? ??? ?? ??????? ????? ??? ??? ????? ?? ?? ???? ????? ??? ??? ???????? ?? ??? ??? ?? ???? ????? ??, ????? ?? ????? ????? ???",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,?????,fire (W);,"????? ?? ??? ?? ???? ????? ???? ?? ?????? ????? ?? ??? ???? ???? ????? ???? ??? ??????? ???? ???? ??, ???? ????? ?? ?????? ?? ??????? ?? ????? ?? ??? ?????? (??????? ?? ??? ???? ?? ????? ??? ????? ???? ??? ??????? ???? ???) (???????? ????? ?? ???? ???? ?????? ?? ????? ???? ?? ??? ???????? ?? ????? ???? ???)",,,,,,,,,,,,,,,,,,,,,,,,
t,???????? ,???????????,"who is not a Jew (W); 
people who are not Jews (R); ","???????? ?? ??? ???? ?? ??????? ??? ?? ? ?? ???????? ??? ?? ? ?? ?????? ???? ?? ??? ???, ??????? ???????? ???? ??????? ?? ????????? ?? ???? ???? ??? (???? ?? ?????? ????? ?? ????, ???????? ???? ????????? ?? ??? ???????? ????????? ??? ???? ???? ??? ????? ????? ?? ???? ???? ???)
???-???, ?? ???? ??? ???????? ???? ?? ?????? ??????? ???? ??? ??? ????? ?? ??? ???? ???? ?? ?? ????? ??? ??????? ???? ???? ?? ????? ?? ??????? ???? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,?????,"??????????, ?????????? ????","light;
greatness;
praise (give glory to God);
strength and/or beauty (G);
allah (W); decoration/beauty (R);","????? ?? ???? ?? (1) ???? ?????, (2) ??????? ??????, (3) ???????, ?? (4) ????? ?? ?????????",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,??????? ,deer-like animal with long hair (G); ,"??????? ?? ????? ????? ??? ????? ???? ?? ??? ??? ???? ???? ??????? ????? ?????? ?? ??? ?? ?? ???? ??? ???? ???? ?????? ?? ???? ???? ?? ?? ????? ??, ???? ??????? ?? ???? ??? ?? ?? ????? ???? ??? ????? ?? ???????, ??????? ????? ??? ???? ??, ???? ?????? ?? ????? ??? ?? ??????? ????????? ?? ?????? ????",,,,,,,,,,,,,,,,,,,,,,,,
t,????????  ,?????? ?????,"eternal one;
Creator; 
the God who lives / has lived forever (G); God (R); Allah (W);","????????  ?? ????, ?????? ????? ?? ????? ?? ??? ?? ??? ????? ????????? ?? ???? ?? ??? ????????   ?????? ?? ?????? ?? ???? ???? ??? ???? ??? ?? ???? ??????? ?? ??????? ???? ???? ?? ?????? ???? ?? ???? ???? ??? (???? ???? ???? ??? ????? ????????   ???? ???) (??? ?? ???? ????????   ?????? ?? ??? ???, ???? ????? ?? ??? ???, ????? ??? ????)",,,,,,,,,,,,,,,,,,,,,,,,
t,???? ,??????,,???? ?? ????? ?????? ?????? ??? ????? ???????? ?? ??? ?????? ?? ????? ????? ?? ??? ???? ???? ??????????? ?? ???? ?? ????? ?????? ???? ?? ???? ??? ??? ???? ???? ?? ?????? ???? ??? ??? ????? ???? ?? ??? ??? ???? ???? ?? ?? ?? ?? ???? ???? ????? ?? ?? ?? ?? ???? ? ??? ?? ???? ????? ??? ? ?? ????,,,,,,,,,,,,,,,,,,,,,,,,
