,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts
t,राजदण्ड,,"शासन गर्ने दण्ड (G);
",राजदण्ड एउटा दण्ड वा बल हो [राजदण्डमा] जुन राजाहरूले कानुन वा निर्णयहरू गर्दा आफ्नो हातमा समात्छन्। राजदण्ड शाही अधिकारको प्रतीक हो।,,,GC 08-Mar-2019,
t,शास्त्री,शास्त्रीहरु,"मानिसहरुको शिक्षक (G);
cultural law expert;
person who teaches people cultural law; teacher of the laws (R);
an educated person who can write documents/books {for others);
repeater (W)","शास्त्रीहरू ती थिए जसले बाइबलको प्रतिलिपिहरू बनाए, जसले बाइबल अध्ययन गरे, र जसले अरूलाई बाइबल सिकाए। येशू र पृथ्वी मण्डलीको समयमा, धेरै यहूदी शास्त्रीहरूले येशू र उनका प्रेरितहरूको विरोध गर्न फरिसीहरूसँग सामेल भए।","यहुदी धर्म गुरु,  फरिसी, 
 सदुकी",,,
t,चर्मपत्र,चर्मपत्रहरु,"खुल्ला पुस्तक; 
खुल्ला कागज (G);
","चर्मपत्र छालाको लामो टुक्रा (वा प्यापिरस) हो जसमा मानिसहरूले शब्दहरू लेख्छन्। तिनीहरूले यसलाई भण्डारण गर्न चर्मपत्रलाई बे, र यसबाट पढ्नका लागि यसलाई खोल्ने गर्थ्य। पुस्तकहरू एउटा किनारमा एकसाथ बाँधिएका कागजका धेरै साना टुक्राहरू हुन्। चर्मपत्र एउटा पुरानो रूप वा पुस्तक बनाउने तरिका हो। चर्मपत्र एउटा खोल्ने पुस्तक हो। पुस्तक भनेको स्ट्याक गरिएका पृष्ठहरूको समतल चर्मपत्र हो।","बाइबल, बुक",,GC 23-Feb-2019,
t,समुन्द्र,सागर,धेरै पानी/नदि (G); ,पृथ्वीको आधाभन्दा बढी भाग गहिरो नुनिलो पानीले ढाकिएको छ। गहिरो पानीको फराकिलो भागलाई समुद्र वा महासागर भनिन्छ। पुरुषहरूले पानीमा तैरने जहाज भनिने ठुला डुङ्गाहरूमा समुद्र पार गर्न सक्छन्।,"नदी,  पानी",,GC 19-Feb-19,
t,सेप्टुआजिन्ट,,,"सेप्टुआजिन्ट, जसको अर्थ ७० हो, पुरानो नियम हो जुन ग्रीकमा अनुवाद गरिएको छ। येशूको लगभग ३३० वर्ष पहिले, ग्रिकहरूले इस्राएल र मिश्रलाई जितेका थिए जहाँ धेरै यहुदीहरू बसोबास गर्थे। जब यहुदीहरूले ग्रिक बोल्न थाले, तिनीहरूमध्ये ७० जनाले पुरानो नियमलाई हिब्रूबाट ग्रिकमा अनुवाद गरे। (नयाँ नियमले प्रायः हिब्रूको सट्टा सेप्टुआजिन्टका पदहरू उद्धृत गर्दछ।)",,,"That is more or less the tradition. Reality may be a little different, for there were also other Greek translations of the Tanakh.",
t,नोकर,नोकरहरु,एक जो अरु कशैको लागी काम गर्छ (G); ,"एकजना सेवकले अरू कसैलाई सहयोग गर्छ वा काम गर्छ। सेवकहरू (१) तलबका लागि काम गर्ने मानिसहरू हुन सक्छन्, (२) बन्दी दास वा ऋणी हुन सक्छन् जो कुनै तलबका लागि काम गर्न बाध्य छन्, (३) आफ्नो मालिकका लागि स्वतन्त्र रूपमा काम गर्ने मानिसहरू हुन सक्छन् किनभने उनीहरूले उनीहरूलाई माया गर्छन्। शक्तिशाली मानिसका लागि काम गर्ने सेवकहरू गरिब मानिसहरू भन्दा बढी महत्त्वपूर्ण थिए जो सेवक थिएनन्। अगमवक्ताहरू र इसाईहरूलाई प्रभुको सेवक भनिन्छ किनभने तिनीहरूले स्वतन्त्र रूपमा प्रभुको सेवा गर्छन् जो तिनीहरूको मालिक हो।", दास,,GC 07-Feb-19,
t,लाज,"लजित, लाजहुनु, लाजपुर्ण","be ashamed (G); 
",लाज एक भावना वा भावना हो जुन अपराध बोधबाट आउँछ। अरूलाई लज्जित गर्नु भनेको उनीहरूले गरेका खराब कार्यहरू बताउनु हो। मानिसहरूले लाज वा लाज महसुस गर्छन् जब उनीहरूले केही गलत गरेनन् वा जब तिनीहरू गलत वा नराम्रो साबित हुन्छन्। येशूले हाम्रो लाज हटाउनका लागि मर्नुभयो ताकि हामी पूर्वनिर्धारित र प्रिय महसुस गर्न सकौं।,"दोश, क्षमादिनु",This is true in guilt culture:Humans feel shame or ashamed when they strongly wish they had not done something wrong.  BUT in shame culture people feel shame when they lose face/are proved wrong/bad.,GC 23-Feb-2019,
n,शेकेम,,,"शकेम नामक एक दुष्ट व्यक्तिले याकूबकी छोरी दिनालाई बलात्कार गरेपछि, उनका भाइहरूले उनलाई मारे।
कनानीहरूको एउटा कुललाई शकेम भनिन्थ्यो।
त्यहाँ शकेम नामको एउटा सहर थियो जुन इस्राएलका सातवटा ""शरणका सहरहरू"" मा परिणत भयो जहाँ अभियुक्त हत्याहरू सुरक्षाका लागि भाग्न सक्थे।
(शकेम नामको अर्थ जीवन हुन सक्छ।)",,,GC 19-Feb-19,
t,भेडा,,"sipsip (K); sip (R); deer-like animal (G); 
","भेडा कुकुरभन्दा ठुला शान्त र लाजालु स्वभावका जनावर हुन्। तिनीहरू बाख्रा जस्तै हुन्छन् तर मोटो पुच्छर हुन्छ। तिनीहरू बगाल वा गोठमा बस्छन् र लामो कपाल/फर/ऊन बढाउँछन्। मानिसहरूले भेडापालनन् गर्छन्, कपडा बनाउन तिनीहरुको ऊन काट्छन्, र कहिलेकाहीँ तिनीहरूको मासु खान्छन्। इस्राएलीहरूले प्रायः परमेश्वरको उपासना गर्न भेडाहरू बलि चढाउँथे। नर भेडालाई राम भनिन्छ।  भेडीलाई इव भनिन्छ। भेडाको बच्चालाई थुमा भनिन्छ।  बप्तिस्मा दिने यूहन्नाले येशूलाई परमेश्वरको थुमाको नाम दिए। येशूले आफूलाई गोठालो भन्नुभयो र हामीलाई आफ्ना भेडाहरू भन्नुभयो।","गोठालो, बाख्रा",,Sheep herding folk will chuckle at this.,
t,गोठालो,गोठालोहरु,"one who takes care of sheep (G); एक जस्ले भेडाहरुको हेरचाह गर्छ
","भेडा वा बाख्राको नेतृत्व गर्ने र सुरक्षा गर्नेहरूलाई गोठालाहरू भनिन्छ। येशूले आफूलाई हाम्रो असल गोठालो भन्नुहुन्छ, किनकि उहाँले हामीलाई परमेश्वरकहाँ लैजानुहुन्छ र हाम्रो हेरचाह गर्नुहुन्छ।"," भेडा, बाख्रा",,GC 23-Feb-2019,
n,शिलोह,,,"शीलोह सामरिया प्रान्तको एउटा पुरातन पर्खालले घेरिएको सहर थियो, जहाँ इस्राएलीहरूले आफ्नो पुरानो उपासनाको तम्बु राखेका थिए। धेरै इस्राएलीहरूले परमप्रभुको उपासना गर्न शीलोहको वार्षिक तीर्थयात्रा गरे।




",,,,GC 7/7/2019
n,शिलोह,,,"शीलो यहूदा प्रान्तको एउटा सहर थियो जहाँ इस्राएलका मानिसहरू कनानमा बसोबास गरेपछि करारको सन्दुकसहित पुरानो उपासना तम्बू राखिएको थियो। अगमवक्ता शमूएल शीलोबाट आएका थिए।




",,,GC 07-Feb-19,
t,पानी जहाज,जहाजहरु,"big canoe (G);
","जहाजहरू धेरै ठुला डुङ्गाहरू हुन् जसले यात्रु र कार्गो लामो दूरीसम्म बोक्छन्, र समुद्र वा फराकिलो तालहरूमा यात्रा गर्छन्।","जिर्ण, डुङ्गा",,GC 19-Feb-19,
n,सिदोन,,,"सीदोन एक धनी, मूर्तिपूजक, शत्रु शहर थियो, समुद्र नजिकै, इस्राएलको उत्तरमा, जहाँ तिनीहरूले अन्य देवताहरूको पूजा गर्थे। दुष्ट रानी ईजबेल सीदोनबाट आएकी थिइन्। एक पटक येशू एकजना विधवा र उनकी एउटी छोरीलाई सहयोग गर्न त्यहाँ जानुभएको थियो। (सिदोन नामको अर्थ माछाको सहर हो।) ",,,GC 19-Feb-2019,
n,सिन,सिय्न,,सिन एउटा उजाडस्थानको नाम थियो जहाँ इस्राएलीहरू मिश्रबाट निस्केपछि धेरै महिनासम्म बसे।,,,What they ate there can be learned from the story.,
n,सिलास,,,"सिलास यरूशलेमबाट आएका थिए। उनले पावलसँग धेरै सहरहरूमा यात्रा गरे जहाँ तिनीहरूले नयाँ मण्डलीहरू स्थापना गरे (प्रेरित १५,१६,१७,१८) (सिलास नामको अर्थ ""वनपाल"" हो।)",,,,GC 7/7/2019
t,चाँदी,,"कडा मह (G); 
","चाँदी एक चम्किलो, महँगो धातु हो जुन कप, भाँडा, कचौरा र पैसाको सिक्का बनाउन प्रयोग गरिन्छ।", सुन,,GC 19-Feb-2019,
n,सिमोन,सिमियोन,,"सिमोन नामका धेरै मानिसहरू थिए, अर्को तरिका भनेको नाम सिमोन हो। प्रेरित पत्रुसलाई सिमोन र केफास भनिन्थ्यो।",,,GC 08-Mar-2019,
t,पाप,"पाप गराइ, पापहरु,  पाप गरिएको,  दुष्टता,  दुष्ट, "," खराब गराई/सोचाई सोचाइ; खराब व्यबहार (R);
( परिणाम मा) दोष;
परमेश्वरलाई मन नपर्ने काम गर्नु/चाहनुt;
खराब गर्न जानु/गलत बाटोहरु;
परमेश्वरको दृष्टिमा खराब गर्नु (G);
खराबकुराहरु (G); 
","परमेश्वरलाई अप्रसन्न पार्ने प्रत्येक मानव कार्य पाप हो। परमेश्वरको व्यवस्था उल्लङ्घन गर्ने पापहरू अपराध हुन्। मानव कानुन उल्लङ्घन गर्ने पापहरू अपराध हुन्। बाल्यकालमा बाँच्ने सबै मानिसहरूले पाप गर्छन्। जब कुनै व्यक्तिले परमेश्वरको कुनै पनि आज्ञा तोड्छ, त्यो पाप हो। चाहे त्यो मानिसको नजरमा सानो होस् वा ठुलो, यो अझै पनि परमेश्वरको नजरमा पाप हो। (किनकि येशू हाम्रा पापहरूका कारण आफ्नो क्रूसमा मर्नुभयो, परमेश्वरले हाम्रा सबै पापहरू क्षमा गर्न सक्नुहुन्छ।




", उचित,,,
n,सिनै,"सिनै पहाड, पहाड सिनाई।",,"परमेश्वरले मोशालाई अरबको सिनै नामक पर्वतमा भेट्नुभयो, जहाँ परमेश्वरले ढुङ्गामा दस आज्ञा लेख्दिनुभएको थियो, र इस्राएलीहरूसँग एउटा करार गर्नुभएको थियो।",,,Some researchers now believe that Sinai is Jebel-Musaa (Mt. Moses) in Saudi Arabia.,
n,सिसेरा,,,"सीसरा एक कनानी सेनाका सेनापति थिए जसले दबोरा न्यायाधीश हुँदा इस्राएलीहरू विरुद्ध लडे। जब सीसरा भाग्यो र एक महिलाको तम्बूमा लुक्यो, उनले उसलाई मारीन्। उनको नाम जाएल थियो।",,,,GC 7/7/2019
t,दास,"दास, स्थायी दास","एक व्यक्ति जस्ले पैसा विना काम गर्छ/विना भुक्तानी(G); 
","पुरातन समयमा, धेरैजसो कुट्रीहरूमा दुई प्रकारका नागरिकहरू थिएः स्वतन्त्र मानिसहरू जो अर्को मानिससँग सम्बन्धित थिएनन्, र दास वा दासहरू जो अरू कसैसँग सम्बन्धित थिए जसलाई उनीहरूले तलब बिना सेवा गरे। केही दासहरू युद्ध बन्दी थिए, अरूलाई दास बनाइयो किनभने उनीहरूले आफ्नो ", नोकर,increase cell size to show the definition.,GC 07-Feb-19,
t,सर्प,"सांप, सर्पहरु,  सर्पहरु",,"सर्प लामो, पातलो जनावर/जनावर हो जसको खुट्टा वा खुट्टाहरु हुँदैन। केही सर्पले अन्य जनावरलाई विषले फालेर मार्छन्। अरूले आफूलाई अर्को जनावरको वरिपरि लपेटेर निचोडेर मार्छन्।",अजिङ्गर,,GC 15-Feb-2019,
n,सदोम,सदोमीहरु,," सदोम त्यो सहरको नाम थियो जहाँ लोत र उनको परिवार गमोराह नामक सहर नजिकै बस्थे। सदोम र गमोराका मानिसहरूले भयानक यौन पापहरू गरे। यस कारणले गर्दा, परमेश्वरले यी सहरहरूलाई आगोले नष्ट गरे।",,,,
n,सोलोमन,,,"सोलोमन, जसको नामको अर्थ शान्ति हो, राजा दाऊदका छोराहरू मध्ये एक थिए। बतशेबा सोलोमनकी आमा थिइन्। दाऊदपछि सोलोमन राजा भए, र उनले नै यरूशलेममा परमेश्वरको पहिलो मन्दिर निर्माण गरे। सोलोमनले आफूलाई परमेश्वरको सामुन्ने नम्र तुल्याएपछि परमेश्वरले उनलाई बुद्धिमान र अत्यन्त धनी बनाउनु भएको थियो। (यद्यपि, पछि सोलोमनले धेरै पत्नीहरूसँग विवाह गरेर र उनीहरूलाई मूर्तिपूजक देवताहरूको पूजा गर्न अनुमति दिएर पाप गरे।)",,,,
t,परमेश्वरको पुत्र,परमेश्वरको पुत्र,"God in human form; Child of God (R, W);
a man who is God; God!;
God's Son (G) (Mark 15:39);
","इस्राएलमा, परमेश्वरले राजाहरूलाई आफ्ना छोराहरू र आफूलाई तिनीहरूको पिता भन्नुहुन्थ्यो। यसरी, 'परमेश्वरको पुत्र' राजाहरूका लागि उपाधि बन्यो, र 'परमेश्वरको पुत्र' मसीहा वा ख्रीष्ट भनिने महान राजाको उपाधि बन्यो। (नयाँ नियमले येशू परमेश्वरको पुत्र हुनुहुन्छ र येशू मानव शरीरमा जन्मेका परमेश्वर हुनुहुन्छ भनेर प्रकट गर्दछ।)","मानिसको पुत्र,  मसिह",,"GC: Theologians go through all kinds of contortions to make biblical titles fit their metaphysical speculations. Whilst Jesus is truly human and well as truly God, that is not the main purpose of the title.",
t,मानिसको पुत्र,मानिसको पुत्र,"son of a human; Child of Man (R);
Man's Son (G); 
the Human One;
the Heavenly Man;","अगमवक्ता दानियलले एकपटक स्वर्गमा 'मानिसको पुत्र' जस्तो देखिने, संसारका सबै राष्ट्रहरूमाथि परमेश्वरबाट ठुलो अधिकार भएको व्यक्तिको दर्शन देखेका थिए। उहाँको भावी राज्य र शासन कहिल्यै अन्त्य हुने छैन वा नष्ट हुने छैन। येशूले प्रायः आफूलाई मानिसको पुत्र भन्नुहुन्छ, ताकि उहाँ आफै दानियलको दर्शनमा मानिस हुनुहुन्छ जो स्वर्गबाट मानव शरीरमा आउनुभएको छ भनेर सिकाउनु भयो। (प्रकाशको पुस्तकले येशूलाई धेरै पटक विश्वासीहरूको बीचमा मानिसको पुत्र र काट्ने वा कटनी गर्नेको रूपमा वर्णन गर्दछ।","परमेश्वरको पुत्र,  मसिह
",,"GC: Theologians go through all kinds of contortions to make biblical titles fit their metaphysical speculations. Whilst Jesus is truly human and well as truly God, that is not the main purpose of the title.
GC: Smoothed out the syntax a bit.",
t,भाला,,"long arrow (G);
",भालाहरु हतियारहरू हुन् जसमा लामो काठको शाफ्ट र धारदार बिन्दु हुन्छ। सिपाहीहरूले युद्धमा शत्रुहरूमाथि भाला फ्याँक्ने वा फ्याँक्ने गर्थे।,,,GC 08-Mar-2019,
t,आत्मा,"आत्माहरु, आत्मा,  आत्माहरु",creature (W);,"आत्माहरू जीवित प्राणीहरू हुन् जुन हामी मानिसहरूका लागि अदृश्य छन्। परमेश्वर अनन्त आत्मा हुनुहुन्छ। अन्य आत्माहरू परमेश्वरद्वारा सिर्जना गरिएका तल्लोतहका आत्माहरू हुन्। स्वर्गदूत र दुष्ट आत्माहरू आत्मा हुन्। प्रत्येक मानिस आत्मा र दृश्य शरीर दुवै हुन्। जब मानिस मर्छ, तिनीहरूको आत्मा बन्छ, जबसम्म यसले नयाँ शरीर पाउँदैन।"," दुष्ट आत्मा, angelस्वर्गदुत",Other gods -> Other spirits,GC 23-Feb-2019,
t,लठ्ठि,लठ्ठिहरु,,"लौरो हिँड्दा समात्ने बलियो काठको लठ्ठि हो, जसले रक्षात्मक हतियारको रूपमा काम गर्न सक्छ।",,,,GC 7/7/2019
n,स्टेफनस,,,"स्टेफन पहिलो इसाईहरू मध्ये एक थिए जो पवित्र आत्माले भरिएको (राम्रोसँग नियन्त्रित) एक बुद्धिमान अगुवाको रूपमा परिचित थिए। उनले अरूलाई खाना बाँडे, र साहसपूर्वक येशूको बारेमा बोले। जब उनले केही यहुदी नेताहरूलाई आफ्नै पापको सम्झना गराए, उनीहरूले उनलाई ठुला ढुङ्गाले प्रहार गरेर मारे। (स्टिफन नामको अर्थ मुकुट हो।)",,He served food to others -> He distributed food to others,GC 19-Feb-2019,
t,कडा पिया,अलकोहल,"fermented manioc juice, any drink that causes drunkenness (G);
crazy water (U); ",कडा पेय कुनै पनि तरल पेय हो जसमा रक्सी समावेश हुन्छ।,"वियर, दाखमध्य, ",other language: crazy water (urt),GC 15-Feb-2019,
t,गन्धक,गन्धक,सल्फा(K),सल्फर पहेँलो रङको पदार्थ हो जुन उज्यालो ज्वाला र कडा गन्धले जलन्छ। यसलाई कहिलेकाहीँ गन्धक भनिन्छ।,,,,
t,तरवार,तरवारहरु,"लामो चक्कु/लामो ब्लेड (G);
"," तरवारहरू बलियो, लामो चक्कुहरू हुन् जसलाई सिपाहीहरूले युद्धमा लड्न प्रयोग गर्थे। तरवार युद्ध गर्ने र अपराधीहरूलाई सजाय दिने राजाको शक्तिको प्रतीक पनि हो।",,,GC 08-Mar-2019,
t,अञ्जीरको रुख,,"अञ्जीरको रुख; रुख (R);
फलरुख",साइकामोर एक प्रकारको अन्जीर (फल) रूख हो। यसमा फराकिलो शाखाहरू छन् जुन चढ्न सजिलो छ र प्रायः यात्रुहरूलाई छाया प्रदान गर्न सडक किनारमा रोपिएको थियो। यसको काठ इन्धन र फर्निचरका लागि प्रयोग गरिन्थ्यो।,,,,
t,सभाघर,,"धोषणा गर्ने भवन;
यहुदीहरु एक ठाउँमा जम्मा हुने स्थान / जम्मा हुने स्थान(G);
आराधना गर्ने घर(R); ","सभाघरको अर्थ सँगै आउनु हो। सभाघरहरू धार्मिक सभा घरहरू हुन् जहाँ यहुदीहरू बाइबल पढ्न, एकअर्कालाई सिकाउन, प्रार्थना गर्न र परमेश्वरको आराघना गर्न भेला हुन्छन्। (इसाई सभा गर्ने ठाउँहरूलाई मण्डली वा चर्च भनिन्छ।)"," मन्दिर,  वेदी",Christian synagogues -> Christian meeting places,,
n,सिरियाली,"सिरिया, सिरियालीहरु",,"सिरिया इस्राएलको उत्तर-पूर्वमा रहेको देश थियो र अझै पनि छ। सिरिया र इस्राएलल प्रायः एकअर्काविरुद्ध युद्धमा गए, र तिनीहरू अझै पनि गर्छन्। अगमवक्ता एलीशाले उनलाई कुष्ठरोगबाट निको पारेपछि नामान नामक एक सिरियाली सैन्य अधिकारीले परमप्रभुलाई मार्न थाले।",,,GC 07-Feb-19,
t,सन्दूक,"पवित्र पाल, भेटहुने पाल,जम्मा हुने पाल","skin/leather house of God;
house-like building (not made of durable material) (G); 
skin prayer-tent; house of canvas (ie tent) (R); ","वासस्थानको अर्थ ठुलो वासस्थान हो। परमेश्वरले प्राचीन इस्राएलीहरूलाई एउटा सुन्दर, पोर्टेबल बासस्थान निर्माण गर्न आदेश दिए, ताकि उनको उपस्थिति तिनीहरूसित बस्न र छाउनी लगाउन सकियोस्। साथै तिनीहरूले उजाडस्थानमा यात्रा गर्दा राम्ररी उहाँको आराधना गर्न सकून्। (सोलोमनले यरूशलेममा मन्दिर निर्माण गरेपछि, बासस्थानको अब आवश्यकता थिएन; मन्दिरले बासस्थानलाई प्रतिस्थापन गऱ्यो। येशूले बासस्थान र मन्दिर दुवैलाई प्रतिस्थापन गर्नुभयो।)"," मन्दिर, 
 सभाघर",,Explicitating the materials might make the word impossible to translate.,
n,ताबोर,ताबोर पहाड,,"ताबोर उत्तरी इस्राएलको एउटा पर्वत हो। यसले केही इस्राएली जातिहरू बिचको सीमाहरू चिह्नित गऱ्यो।




",,,GC 07-Feb-19,
n,तामार,,, तामार राजा दाऊदकी छोरी र दाऊदको छोरा अबशालोमकी बहिनी थिइन्।,,,GC 08-Mar-2019,
t,करउठाउनेहरु,करउठाउनेहरु,ones who get/carry fees (R); taxer (W);,"रोमीहरूले इस्राएल कब्जा गरेपछि, तिनीहरूले यसलाई यहूदिया भनेर बोलाए र सबैमाथि भारी कर लगाए। केही यहूदी/यहुदीहरूले रोमीहरूका लागि कर सङ्कलन गरे, पैसाको केही भाग आफ्ना लागि राखे। अधिकांश मानिसहरूले कर सङ्कलन गर्नेहरूलाई पापी भन्दै घृणा गर्थे।",,,,
t,शिक्षा,"शिक्षक, शिक्षा दिदै, शिक्षा दिएको, शिक्षादिनु,तालिम",make read (W);,"""सिकाउनु वा तालिम दिनु भनेको अरूलाई उपयोगी वा साँचो कुरा बताउनु हो जबकि तिनीहरूलाई त्यो सत्यलाई कसरी पालन गर्ने वा लागू गर्ने भनेर देखाउनु हो। येशूले आज्ञा दिनुभयोः ""जाऊ अनि अरूलाई मेरा आज्ञाहरू पालन गर्न सिकाउ।""




","preach, prophet",,GC 15-Feb-2019,
t,मन्दिर,"मन्दिरहरु,
परमेश्वरको भवन,
परमेश्वरको घर","big house/building of God (G); 
house of God;
meeting place for God and people;
big/primary worship house/place (P); house of giving (K); inside the fence of the house of giving (K); magnify-place (W);","मन्दिर परमेश्वर (प्रभुहरु) र मानिसहरू भेट्ने ठाउँ हो। यहुदीहरूका लागि, यरूशलेममा अवस्थित एउटा मात्र मन्दिर थियो। यहीँ तिनीहरूको ईश्वरको उपासना केन्द्रीकृत थियो। ऐतिहासिक रूपमा, त्यहाँ केवल केही [यहूदी] मन्दिरहरू छन्ः (१) उजाडस्थानमा मोशाले बनाएको छालाको तम्बू वासस्थान; (२) यरूशलेममा राजा सोलोमनले बनाएको भव्य ढुङ्गा र सुनको मन्दिर र बेबिलोनले नष्ट गर्यो; (३) नहेम्याह र जरूब्बाबेलको अधीनमा यरूशलेम शहरसँगै सानो मन्दिर पुनर्निर्माण गरियो र त्यसपछि राजा हेरोदले येशूको जन्म हुनु अघि विस्तार गरे। यो मन्दिर रोमीहरूले ७० ए.डि. मा नष्ट गरेका थिए। (४) येशूको शरीर एउटा ""मन्दिर"" (ईश्वर र मानवजातिको मिलन भएको ठाउँ) थियो। (५) नयाँ नियमले सिकाउँछ कि मसीहीहरू अब परमेश्वरको मन्दिर हुन्, किनकि तिनीहरूमा उहाँको आत्मा वास गर्दछ।
मन्दिरहरू मूर्तिपूजक देवताहरूको मूर्तिहरूका लागि घरहरू हुन्।




","सभाघर,  वेदी",Hilkka: move this sentence to the end: Temples are houses for idols of pagan gods.... Start with: Temple is the place where…,"GC 11-Mar-2019
Shortened edit.","Temples are houses in which people pray to their gods and offer sacrifices. Pagans set up idols in their temples. God told the Israelites to set up a portable tent. Later God ordered Solomo to build a temple at Jerusalem. After the Israelites brought pagan idols into God's temple, he sent the Babylonians to destroy that first temple. Jesus body was a temple. After Israel crucified Jesus, God sent Roman armies to destroy their second temple. Since then, God says that Christians are his temple, because the Holy Spirit dwells in them."
t,धन्यावाद,"धन्यावादी, कृतज्ञताl, आभार","to tell someone something they have done is good (G); 
be happy with someone (because they gave you something) (U); ","कसैलाई धन्यवाद दिनु भनेको व्यक्तिहरूले तपाईँका लागि के राम्रो काम गरेका छन् भन्ने कुरा बताउनु हो। पूरानो करारमा, विश्वासीहरूले परमेश्वरलाई उपहार दिएर धन्यवाद दिन्छन्; नयाँ करारमा हामी परमेश्वरलाई उहाँका असल कार्यहरू सुनाएर धन्यवाद दिन्छौँ।","प्रशसा, आदार",be happy with someone (because they gave you something (urt)),"GC 23-Feb-2019 (In the NT, grace and thanks are the same Greek word.)",
t,सिंहासन,राजाको राजगद्धी,"sitting place of the leader (G); 
","सिंहासन एउटा कुर्सी थियो जसमा राजाहरू महत्त्वपूर्ण मामिलाहरू निर्णय गर्दा बस्छन्। सिंहासन पनि एउटा प्रतीक हो जसको अर्थ राजत्व वा राजासँग भएको अधिकार हो। स्वर्गको सिंहासनको अर्थ स्वर्ग र पृथ्वीमा शासन गर्ने परमेश्वर हो।




","राज्य, साम्राज्य,  प्रदेश, भुमी",,GC 07-Feb-19,
n,तिमोथी,,,"तिमोथी एसिया माइनरका थिए। जब उनी जवान थिए, उनले पावलसँग धेरै शहरहरूमा यात्रा गरे जहाँ उनीहरूले नयाँ मण्डलीहरू सुरु गरे (प्रेरित १६,१७,१८,१९,२०) पछि पावलले तिमोथीलाई पत्रहरू लेखे, मण्डलीहरू कसरी पालन गर्ने भनेर निर्देशन दिए। (तिमोथी नामको अर्थ ""परमेश्वरको आदर"" हो।)",,,,GC 7/7/2019
n,तितस,,,"तीतस पावलको साथमा क्रेट गए जहाँ तिनीहरूले मण्डलीहरू सुरु गरे। जब पावल गए, तीतस मण्डलीका नयाँ नेताहरूलाई तालिम दिन त्यहाँ बसे। पछि, पावलले उनलाई एउटा पत्र लेखे।",,,,GC 7/7/2019
t,चिहान,"चिहानहरु, समाधि",rock hole (G),"चिहान एउटा गुफा हो जहाँ शवहरू गाड्नका लागि राखिएको थियो। यहुदीहरूले आफ्ना मृत मानिसहरूलाई चिहानमा गाडे, त्यसैले चिहान उनीहरूको चिहान हो।",,,,
t,शहर,गाउँ,"town (G); 
",गाउँ वा सहर भनेको त्यस्ता अन्य समूहहरूबाट अलग पारिवारिक घरहरूको सानो समूह हो। गाउँ वा सहर सहरभन्दा सानो समूह हो। , शहर,,GC 08-Feb-19,
t,ढुकुटी,ढुकुटीहरु,,खजाना भनेको पैसा वा महँगो वस्तुहरू एकै ठाउँमा राख्नु हो।,,,,
n,उज्जाह,,,"राजा दाऊदले करारको पेटी कब्जा गरिसकेपछि यरूशलेममा लैजानका लागि गोरुगाडीको व्यवस्था गरे। (यो करारको पेटी बोक्नका लागि परमेश्वरले निर्दिष्ट गरेको तरिका थिएन।) जब गोरुहरू अड्किए, उज्जाहले बक्सलाई स्थिर गर्न आफ्नो हात बक्समा राखे। तुरुन्तै, प्रभुको आगोले उज्जाहलाई मारे, किनकि परमप्रभुले कसैलाई पनि पेटी छुन निषेध गर्नुभएको थियो। (उज्जा नामको अर्थ बल हो।)",,,,
n,वश्ती,,,रानी वश्ती पर्सियाका राजा जेर्क्सिसकी पहिलो पत्नी थिइन्। राजाले उनलाई पदच्युत गरे र एस्तरलाई आफ्नो नयाँ रानी बनाए। (फारसी नाम वश्तीको अर्थ सुन्दर हो।),,,GC 08-Mar-2019,
t,दाखरुख,"दाखरुख, दाखबारी, दाखरुख, दाखरुखहरु",,"दाख एउटा बोट हो जसले अङ्गुर भनिने फल फलाउद छ। दाखबारी एउटा बगैँचा हो जहाँ तिनीहरूले अङ्गुरका बिरुवाहरू उमार्छन्। मानिसहरूले ढुङ्गाको बाड़ले दाखबारीहरूको रक्षा गरे अनि तिनीहरूको सुरक्षा गरे। बाइबलमा, परमेश्वरले इस्राएललाई आफ्नो दाखबारी भन्नुभएको छ, र येशूले आफूलाई दाखको बोट र आफ्ना चेलाहरुलाई दाखका हाँगाहरू भन्नुहुन्छ।","अङ्गुर,  दाखमध",,,
t,कन्या,कुमारी,केटी (W);,"कुमारीहरू पुरुष वा महिला हुन्, जवान वा वृद्ध, जसले कसैसँग कहिल्यै यौन सम्बन्ध राखेका छैनन्। राजाको दरबारमा कुमारीहरू राजाकी पत्नी वा उपपत्नी बन्ने प्रतीक्षामा रहेका युवतीहरू हुन्थे।"," महिला, पत्नी",,GC 07-Feb-19,
t,दर्शन,दर्शन,"to see as in a dream (G); what appeared (W);
","दर्शन एउटा सपना हो जुन कसैले नसुतकै समयमा देख्छ। दर्शनमा, कसैले व्यक्ति वा चीजहरू देख्न सक्छ जुन सामान्यतया अदृश्य हुन्छन्। दानियल र प्रकाशको पुस्तकले भविष्यका घटनाहरूको बारेमा धेरै दर्शनहरू वर्णन गर्दछ। प्रेरित पावलले येशूलाई धेरै दर्शनहरूमा देखे।", सपना,,GC 07-Feb-19,
